NU_IDENTIFICADOR;IBGE;co_seq_dirigente;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;q_34_3;q_34_9;q_34_10;q_34_11;q_34_12;q_34_13;q_34_14;q_34_15;q_34_16;q_34_17;DataCenso;DataCenso_2018;q_34_2_rec;Idade;Faixas_etarias;d_34_9;d_34_11;d_34_9bin1;d_34_9bin2;d_34_9bin3;d_34_10bin1;d_34_10bin2;d_34_10bin3;d_34_10bin4;d_34_10bin5;d_34_11bin1;d_34_11bin2;d_34_11bin3;d_34_11bin4;d_34_9bin1_sum;d_34_9bin2_sum;d_34_9bin3_sum;d_34_10bin1_sum;d_34_10bin2_sum;d_34_10bin3_sum;d_34_10bin4_sum;d_34_10bin5_sum;d_34_11bin1_sum;d_34_11bin2_sum;d_34_11bin3_sum;d_34_11bin4_sum;nu_trabalhadores
43092096164;430920;567652;4309209;43;4;Gravataí;255660;243497;12163;Grande;463,499;2;257;283;138;248;18;31/07/2015;2;99;1;31.08.2018;8/31/2018;06/03/1983;35;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;2;5;5;2;1;0;1;0;9;0;0;3;12
12004097308;120040;1208820;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942;2;255;281;293;254;263;28/01/2017;2;3;99;31.08.2018;8/31/2018;8/20/1944;74;5;1;4; ;1; ; ; ; ; ; ; ; ; ;1;6;13;7;0;4;0;0;1;3;0;1;22;26
21030097868;210300;1412211;2103000;21;2;Caxias;155129;118534;36595;Grande;5196,769;1;257;281;266;249;20;07/02/2018;2;3; ;31.08.2018;8/31/2018;03/11/1971;47;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;4;7;0;3;0;1;1;0;0;1;13;14
26116096538;261160;738542;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;1;255;281;138;248;20;02/07/2018;3; ; ;31.08.2018;8/31/2018;9/19/1988;29;1;1;1; ;1; ; ; ; ; ; ;1; ; ; ;3;18;15;0;3;0;1;2;24;0;0;12;36
29136097900;291360;1348440;2913606;29;2;Ilhéus;184236;155281;28955;Grande;1584,693;2;257;281;266;249;18;06/09/2017;3; ; ;31.08.2018;8/31/2018;8/24/1988;30;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;4;6;0;1;0;0;3;1;0;0;10;11
33017093794;330170;1460730;3301702;33;3;Duque de Ca;855048;852138;2910;Grande;467,271;2;260;281;266;249;18;17/05/2018;2; ; ;31.08.2018;8/31/2018;06/05/1967;51;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;12;11;0;4;0;0;2;1;0;0;22;23
35028098030;350280;1450793;3502804;35;3;Araçatuba;181579;178077;3502;Grande;1167,126;2;257;281;293;248;20;05/09/2017;2;99;99;31.08.2018;8/31/2018;4/13/1977;41;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;3;9;0;2;0;1;2;1;1;0;11;13
35259095940;352590;969209;3525904;35;3;Jundiaí;370126;354204;15922;Grande;431,207;1;257;281;138;248;20;10/09/2014;2; ; ;31.08.2018;8/31/2018;1/15/1970;48;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;3;5;8;0;4;0;0;1;13;0;0;3;16
43144095738;431440;271121;4314407;43;4;Pelotas;328275;306193;22082;Grande;1610,084;1;257;281;139;252;20;16/12/2012;99; ; ;31.08.2018;8/31/2018;07/06/1950;68;5;2;2; ; ;1; ; ; ; ; ; ;1; ; ;1;7;6;0;3;0;0;1;3;8;0;3;14
52087098137;520870;1202239;5208707;52;5;Goiânia;1302001;1297076;4925;Metrópole;728,841;2;257;281;266;248;18;16/04/2018;2; ; ;31.08.2018;8/31/2018;5/17/1988;30;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;13;15;1;8;0;1;4;9;0;1;19;29
13205303522;320530;843439;3205309;32;3;Vitória;327801;327801;0;Grande;96,536;1;257;279;264;249;20;01/08/2013;2;2;2;31.08.2018;8/31/2018;03/01/1973;45;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;4;17;20;3;6;0;1;6;1;0;0;40;41
21030097868;210300;920549;2103000;21;2;Caxias;155129;118534;36595;Grande;5196,769;1;257;279;266;251;20;02/01/2017;1; ; ;31.08.2018;8/31/2018;10/24/1994;23;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;4;7;0;3;0;1;1;0;0;1;13;14
35517098026;355170;1466347;3551702;35;3;Sertãozinho;110074;108772;1302;Grande;403,089;1;257;279;138;249;272;19/04/2018;2;99;99;31.08.2018;8/31/2018;6/27/1991;27;1;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;6;6;2;1;0;0;1;8;0;2;3;13
41083096488;410830;1305617;4108304;41;4;Foz do Igua;256088;253962;2126;Grande;618,353;1;257;279;138;248;20;24/05/2017;2;4;99;31.08.2018;8/31/2018;10/24/1986;31;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;2;4;7;0;2;0;1;1;12;0;0;1;13
31062097926;310620;1349713;3106200;31;3;Belo Horizo;2375151;2375151;0;Metrópole;331,401;1;257;278;264;254;263;15/12/2017;2; ; ;31.08.2018;8/31/2018;2/17/1984;34;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;12;12;1;4;0;0;2;0;10;0;15;25
35458098116;354580;743427;3545803;35;3;Santa Bárba;180009;178596;1413;Grande;271,03;1;257;278;266;248;263;09/01/2017;3;4; ;31.08.2018;8/31/2018;02/12/1992;26;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;2;3;0;1;0;0;1;0;5;0;2;7
11002096408;110020;281282;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;1;257;276;292;21;20;08/04/2015;99;99;99;31.08.2018;8/31/2018;8/23/1963;55;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ;0;0;3;0;0;0;0;1;2;0;1;0;3
13548903039;354890;730259;3548906;35;3;São Carlos;221950;213061;8889;Grande;1136,907;1;257;276;139;21;20;17/05/2012;1;3;2;31.08.2018;8/31/2018;10/01/1974;43;3;2;2; ; ;1; ; ; ; ; ; ;1; ; ;2;0;4;0;1;0;0;1;0;5;0;1;6
14113700129;411370;693596;4113700;41;4;Londrina;506701;493520;13181;Grande;1652,569;1;260;276;138;249;18;16/10/1995;2; ; ;31.08.2018;8/31/2018;08/01/1964;54;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;9;28;0;8;0;0;2;37;0;0;0;37
15014097758;150140;972997;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458;1;257;276;138;251;18;02/06/2014;1; ; ;31.08.2018;8/31/2018;10/10/1992;25;1;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;3;13;1;2;0;2;1;13;0;2;1;16
15068097814;150680;1388078;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;2;257;276;266;248;18;07/08/2017;3; ; ;31.08.2018;8/31/2018;3/16/1984;34;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;5;10;2;1;0;0;2;1;0;0;16;17
15068097814;150680;694125;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;2;257;276;266;249;18;02/07/2018;3; ; ;31.08.2018;8/31/2018;8/20/1979;39;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;5;10;2;1;0;0;2;1;0;0;16;17
16003097968;160030;1007584;1600303;16;1;Macapá;398204;381214;16990;Grande;6503,458;1;257;276;266;249;20;02/01/2018;1;2;99;31.08.2018;8/31/2018;08/08/1967;51;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;0;3;0;2;0;0;0;0;1;0;2;3
26116096538;261160;702546;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;1;257;276;138;248;20;02/09/2018;3; ; ;31.08.2018;8/31/2018;8/14/1979;39;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;3;18;15;0;3;0;1;2;24;0;0;12;36
26116096538;261160;702560;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;1;257;276;138;21;20;01/07/2016;1; ; ;31.08.2018;8/31/2018;5/30/1984;34;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;3;18;15;0;3;0;1;2;24;0;0;12;36
26116097090;261160;863572;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;2;257;276;138;248;20;05/12/2013;99; ; ;31.08.2018;8/31/2018;4/22/1975;43;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;20;26;1;5;0;1;1;36;1;1;9;47
29032098078;290320;1329674;2903201;29;2;Barreiras;137427;123741;13686;Grande;7861,762;2;257;276;266;249;20;10/04/2017;2;3;99;31.08.2018;8/31/2018;04/03/1977;41;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;4;7;1;3;0;0;1;1;0;0;11;12
31062097926;310620;1491995;3106200;31;3;Belo Horizo;2375151;2375151;0;Metrópole;331,401;1;257;276;139;249;18;23/07/2018;2; ; ;31.08.2018;8/31/2018;6/16/1989;29;1;2;2; ; ;1; ; ; ; ; ; ;1; ; ;1;12;12;1;4;0;0;2;0;10;0;15;25
31433096448;314330;329895;3143302;31;3;Montes Clar;361915;344427;17488;Grande;3568,941;1;257;276;142;248;20;16/10/2018;2; ; ;31.08.2018;8/31/2018;6/26/1964;54;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;5;8;4;0;0;0;0;1;5;0;1;11;17
32015096780;320150;294181;3201506;32;3;Colatina;111788;98395;13393;Grande;1416,804;1;257;276;138;248;20;16/03/2018;3;99;99;31.08.2018;8/31/2018;7/27/1988;30;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;3;7;1;1;0;0;2;8;1;0;2;11
33004597942;330045;1242758;3300456;33;3;Belford Rox;469332;469332;0;Grande;78,985;2;257;276;138;249;272;20/03/2016;2;99;99;31.08.2018;8/31/2018;2/23/1967;51;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;3;1;6;0;4;0;0;1;6;0;4;0;10
35032097284;350320;257309;3503208;35;3;Araraquara;208662;202730;5932;Grande;1003,625;1;257;276;139;248;20;18/06/2012;3;2;99;31.08.2018;8/31/2018;2/23/1974;44;3;2;2; ; ;1; ; ; ; ; ; ;1; ; ;1;5;6;0;2;0;1;2;0;11;1;0;12
35290097674;352900;1059675;3529005;35;3;Marília;216745;207021;9724;Grande;1170,515;1;257;276;138;248;20;02/05/2016;2; ; ;31.08.2018;8/31/2018;5/20/1971;47;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;2;11;0;1;0;3;2;11;0;2;0;13
35434096110;354340;1201331;3543402;35;3;Ribeirão Pr;604682;602966;1716;Grande;650,916;2;257;276;138;248;20;03/10/2016;2;99;99;31.08.2018;8/31/2018;12/18/1990;27;1;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;3;5;0;1;0;0;1;8;0;1;0;9
35503098105;355030;1464595;3550308;35;3;São Paulo;11253503;11152344;101159;Metrópole;1521,11;1;257;276;264;249;20;10/07/2017;2; ; ;31.08.2018;8/31/2018;12/21/1991;26;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;3;13;0;4;0;3;1;2;0;1;13;16
35541097994;355410;402478;3554102;35;3;Taubaté;278686;272673;6013;Grande;625,003;2;257;276;138;251;20;03/08/2015;99;99;99;31.08.2018;8/31/2018;06/01/1956;62;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;2;6;9;0;4;0;1;3;16;1;0;0;17
41152096128;411520;351841;4115200;41;4;Maringá;357077;350653;6424;Grande;487,052;2;257;276;138;250;18;15/02/2012;2;2;2;31.08.2018;8/31/2018;03/08/1974;44;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;3;10;9;1;4;0;0;2;20;0;0;2;22
43051094550;430510;286911;4305108;43;4;Caxias do S;435564;419406;16158;Grande;1652,308;2;257;276;138;249;20;16/10/2017;3;3;3;31.08.2018;8/31/2018;5/22/1967;51;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;5;11;0;3;0;0;4;15;0;0;1;16
13205303522;320530;1110236;3205309;32;3;Vitória;327801;327801;0;Grande;96,536;1;257;275;264;248;20;10/10/2017;2;2;99;31.08.2018;8/31/2018;12/19/1980;37;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;4;17;20;3;6;0;1;6;1;0;0;40;41
13205303522;320530;1202678;3205309;32;3;Vitória;327801;327801;0;Grande;96,536;2;257;275;264;248;20;04/02/2016;2;2;2;31.08.2018;8/31/2018;4/27/1988;30;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;4;17;20;3;6;0;1;6;1;0;0;40;41
13205303522;320530;1469729;3205309;32;3;Vitória;327801;327801;0;Grande;96,536;1;257;275;264;249;18;04/09/2018;2;2;99;31.08.2018;8/31/2018;02/09/1963;55;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;4;17;20;3;6;0;1;6;1;0;0;40;41
13548503089;354850;834516;3548500;35;3;Santos;419400;419086;314;Grande;281,033;1;257;275;138;248;20;04/01/1996;2; ; ;31.08.2018;8/31/2018;02/12/1971;47;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;14;32;1;8;0;2;3;46;0;0;0;46
15008097764;150080;972646;1500800;15;1;Ananindeua;471980;470819;1161;Grande;190,451;1;257;275;266;249;18;01/01/2013;2; ; ;31.08.2018;8/31/2018;6/23/1958;60;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;6;7;1;2;0;0;2;0;0;3;11;14
15014097758;150140;1190223;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458;1;258;275;138;248;18;02/04/1984;3;2; ;31.08.2018;8/31/2018;10/17/1960;57;4;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;3;13;1;2;0;2;1;13;0;2;1;16
15014098066;150140;1457127;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458;1;258;275;291;253;262;28/08/2018;2; ; ;31.08.2018;8/31/2018;11/19/1992;25;1;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;11;9;5;3;0;0;0;14;0;3;4;21
15014098066;150140;331325;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458;1;257;275;138;248;18;12/12/1997;3; ; ;31.08.2018;8/31/2018;12/30/1969;48;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1;11;9;5;3;0;0;0;14;0;3;4;21
15014098066;150140;864704;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458;1;257;275;138;249;18;01/04/1996;2; ; ;31.08.2018;8/31/2018;07/06/1969;49;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1;11;9;5;3;0;0;0;14;0;3;4;21
15014098066;150140;331255;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458;1;258;275;138;248;18;01/03/1996;3; ; ;31.08.2018;8/31/2018;02/07/1975;43;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1;11;9;5;3;0;0;0;14;0;3;4;21
15014098066;150140;881456;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458;1;257;275;138;249;18;10/10/2013;2; ; ;31.08.2018;8/31/2018;09/09/1979;38;2;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1;11;9;5;3;0;0;0;14;0;3;4;21
15017098028;150170;863132;1501709;15;1;Bragança;113227;72621;40606;Grande;2091,93;1;257;275;266;21;18;02/01/2017;1;1;1;31.08.2018;8/31/2018;10/21/1985;32;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;6;3;1;1;0;0;1;3;0;0;6;9
15068097814;150680;1443521;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;2;257;275;266;248;18;06/07/2018;2; ; ;31.08.2018;8/31/2018;12/05/1971;46;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;5;10;2;1;0;0;2;1;0;0;16;17
15068097814;150680;1187100;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;1;257;275;266;249;18;27/01/2016;2; ; ;31.08.2018;8/31/2018;2/17/1985;33;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;5;10;2;1;0;0;2;1;0;0;16;17
21053097918;210530;1491035;2105302;21;2;Imperatriz;247505;234547;12958;Grande;1368,988;1;257;275;138;251;20;06/08/2004;2; ; ;31.08.2018;8/31/2018;04/07/1967;51;4;2;1; ; ;1;1; ; ; ; ;1; ; ; ;2;8;5;1;3;0;0;0;7;1;3;4;15
21112098091;211120;661896;2111201;21;2;São José de;163045;37709;125336;Grande;385,777;1;257;275;292;21;263;01/01/2017;1; ; ;31.08.2018;8/31/2018;8/23/1970;48;3;2;3; ; ;1;1; ; ; ; ; ; ;1; ;0;2;1;1;0;0;0;0;0;0;3;0;3
21113096454;211130;673925;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;1;258;275;266;249;18;30/06/2011;2; ; ;31.08.2018;8/31/2018;12/27/1951;66;5;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;28;8;2;5;0;0;1;3;0;5;30;38
21113096454;211130;1351279;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;2;257;275;266;251;18;01/01/2000;99; ; ;31.08.2018;8/31/2018;11/06/1970;47;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;28;8;2;5;0;0;1;3;0;5;30;38
21113096866;211130;1388811;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;1;257;275;266;249;20;01/07/2011;2; ; ;31.08.2018;8/31/2018;5/14/1950;68;5;2;4; ; ;1;1; ; ; ; ; ; ; ;1;3;8;8;2;4;0;0;2;2;0;6;11;19
21113096866;211130;673925;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;1;258;275;266;249;18;17/10/2011;99; ; ;31.08.2018;8/31/2018;12/27/1951;66;5;2;4; ; ;1;1; ; ; ; ; ; ; ;1;3;8;8;2;4;0;0;2;2;0;6;11;19
21122097838;211220;703288;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612;1;257;275;138;248;18;16/01/2017;3;1;4;31.08.2018;8/31/2018;01/11/1985;33;2;2;1; ; ;1;1; ; ; ; ;1; ; ; ;2;5;5;1;2;0;0;2;3;0;1;8;12
22077098060;220770;1320641;2207702;22;2;Parnaíba;145705;137485;8220;Grande;434,229;1;257;275;266;248;20;10/07/2017;99;99;99;31.08.2018;8/31/2018;3/14/1974;44;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;4;6;1;2;0;1;1;3;0;0;7;10
23037096254;230370;1374162;2303709;23;2;Caucaia;325441;290220;35221;Grande;1228,506;1;257;275;266;249;18;06/02/2017;2;99;99;31.08.2018;8/31/2018;9/19/1987;30;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;4;5;1;4;0;0;1;3;0;0;8;11
23044095900;230440;327846;2304400;23;2;Fortaleza;2452185;2452185;0;Metrópole;314,93;2;258;275;292;21;20;01/09/2014;1;2;3;31.08.2018;8/31/2018;10/18/1978;39;2;2;3; ; ;1;1; ; ; ; ; ; ;1; ;0;12;14;1;5;0;2;1;0;0;1;25;26
23044097740;230440;54230;2304400;23;2;Fortaleza;2452185;2452185;0;Metrópole;314,93;1;257;275;292;21;20;10/01/2018;1;1;99;31.08.2018;8/31/2018;11/05/1964;53;4;2;3; ; ;1;1; ; ; ; ; ; ;1; ;0;16;14;1;4;0;2;2;0;0;1;29;30
23096098104;230960;1362985;2309607;23;2;Pacajus;61838;50675;11163;Médio;254,636;1;257;275;266;249;20;12/06/2017;99; ; ;31.08.2018;8/31/2018;01/05/1988;30;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;1;4;2;0;0;0;1;3;0;0;3;6
23096098104;230960;228538;2309607;23;2;Pacajus;61838;50675;11163;Médio;254,636;2;257;275;138;21;20;02/01/2017;1;99;99;31.08.2018;8/31/2018;11/14/1975;42;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1;1;4;2;0;0;0;1;3;0;0;3;6
24081096532;240810;1353837;2408102;24;2;Natal;803739;803739;0;Grande;167,264;1;257;275;138;249;18;03/07/2017;2; ; ;31.08.2018;8/31/2018;2/23/1984;34;2;2;1; ; ;1;1; ; ; ; ;1; ; ; ;2;9;20;3;6;0;2;3;22;0;2;7;31
24081096532;240810;1412063;2408102;24;2;Natal;803739;803739;0;Grande;167,264;1;257;275;138;248;18;13/12/2017;2; ; ;31.08.2018;8/31/2018;12/22/1988;29;1;2;1; ; ;1;1; ; ; ; ;1; ; ; ;2;9;20;3;6;0;2;3;22;0;2;7;31
24081096532;240810;529411;2408102;24;2;Natal;803739;803739;0;Grande;167,264;1;257;275;292;21;20;02/01/2018;1; ; ;31.08.2018;8/31/2018;06/01/1968;50;3;2;3; ; ;1;1; ; ; ; ; ; ;1; ;2;9;20;3;6;0;2;3;22;0;2;7;31
25032098120;250320;1203309;2503209;25;2;Cabedelo;57944;57936;8;Médio;31,915;2;257;275;292;21;18;01/06/2016;1; ; ;31.08.2018;8/31/2018;4/21/1986;32;2;2;3; ; ;1;1; ; ; ; ; ; ;1; ;2;3;4;1;1;0;0;1;0;0;3;6;9
25108098088;251080;1437514;2510808;25;2;Patos;100674;97278;3396;Grande;473,056;1;257;275;292;21;20;24/07/2018;1;99;99;31.08.2018;8/31/2018;07/09/1982;36;2;2;3; ; ;1;1; ; ; ; ; ; ;1; ;1;1;7;1;2;0;0;1;5;0;1;3;9
26079095830;260790;871993;2607901;26;2;Jaboatão do;644620;630595;14025;Grande;258,694;1;258;275;292;21;20;21/10/2013;1;99;99;31.08.2018;8/31/2018;2/20/1966;52;4;2;3; ; ;1;1; ; ; ; ; ; ;1; ;0;2;5;1;1;0;0;2;5;0;1;1;7
26107097676;261070;839542;2610707;26;2;Paulista;300466;300466;0;Grande;97,312;1;257;275;293;21;263;23/04/2018;1;1;1;31.08.2018;8/31/2018;10/20/1958;59;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;2;2;1;0;0;0;1;0;0;0;4;4
26116097090;261160;702556;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;1;257;275;138;248;20;02/09/2018;3; ; ;31.08.2018;8/31/2018;5/31/1982;36;2;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1;20;26;1;5;0;1;1;36;1;1;9;47
26164097934;261640;1301005;2616407;26;2;Vitória de;129974;113429;16545;Grande;335,941;1;257;275;266;248;18;02/01/2018;3;3;3;31.08.2018;8/31/2018;10/03/1979;38;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;3;5;2;2;0;0;1;0;0;0;9;9
26164097934;261640;1381219;2616407;26;2;Vitória de;129974;113429;16545;Grande;335,941;1;258;275;266;248;18;01/08/2017;3;99;99;31.08.2018;8/31/2018;10/28/1959;58;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;3;5;2;2;0;0;1;0;0;0;9;9
28003095452;280030;265093;2800308;28;2;Aracaju;571149;571149;0;Grande;181,857;1;257;275;138;250;263;03/09/2012;3;3;3;31.08.2018;8/31/2018;4/27/1982;36;2;2;1; ; ;1;1; ; ; ; ;1; ; ; ;2;8;17;1;5;0;0;1;20;0;7;0;27
29032098078;290320;1494080;2903201;29;2;Barreiras;137427;123741;13686;Grande;7861,762;1;257;275;266;249;18;30/04/2018;2;3;99;31.08.2018;8/31/2018;8/15/1963;55;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;4;7;1;3;0;0;1;1;0;0;11;12
29065098097;290650;1376459;2906501;29;2;Candeias;83158;75994;7164;Médio;251,628;1;257;275;266;248;20;01/08/2017;3;3;3;31.08.2018;8/31/2018;12/09/1974;43;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;1;4;1;2;0;0;1;1;0;1;3;5
29108095736;291080;1047926;2910800;29;2;Feira de Sa;556642;510635;46007;Grande;1304,425;1;257;275;293;249;18;01/04/2018;2;2;2;31.08.2018;8/31/2018;3/31/1977;41;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;12;9;1;5;0;1;2;0;0;0;21;21
29184097772;291840;1425412;2918407;29;2;Juazeiro;197965;160775;37190;Grande;6721,198;2;258;275;139;249;20;02/04/2018;3;3;3;31.08.2018;8/31/2018;05/02/1980;38;2;2;2; ; ;1;1; ; ; ; ; ;1; ; ;2;4;7;1;0;0;0;2;0;12;0;1;13
29274096880;292740;1132550;2927408;29;2;Salvador;2675656;2674923;733;Metrópole;692,818;1;257;275;138;249;20;01/04/2017;2; ; ;31.08.2018;8/31/2018;10/15/1952;65;5;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1;8;5;1;2;0;1;1;1;0;1;12;14
29274098131;292740;1426138;2927408;29;2;Salvador;2675656;2674923;733;Metrópole;692,818;1;257;275;266;248;20;16/05/2018;2; ; ;31.08.2018;8/31/2018;8/19/1972;46;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;4;5;5;1;3;0;0;1;0;0;1;13;14
29313597746;293135;1180105;2931350;29;2;Teixeira de;138341;129263;9078;Grande;1165,622;1;257;275;138;248;20;23/08/2017;3; ; ;31.08.2018;8/31/2018;3/24/1979;39;2;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;7;4;1;0;0;0;1;2;0;3;6;11
29333094230;293330;1111601;2933307;29;2;Vitória da;306866;274739;32127;Grande;3705,838;2;255;275;138;248;20;06/08/2018;2; ; ;31.08.2018;8/31/2018;08/08/1989;29;1;1;1; ;1; ;1; ; ; ; ;1; ; ; ;1;7;7;1;3;0;0;1;11;0;1;3;15
31062097926;310620;1349715;3106200;31;3;Belo Horizo;2375151;2375151;0;Metrópole;331,401;2;257;275;264;248;263;19/04/2017;2; ; ;31.08.2018;8/31/2018;8/26/1985;33;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;12;12;1;4;0;0;2;0;10;0;15;25
31067097571;310670;1159097;3106705;31;3;Betim;378089;375331;2758;Grande;343,856;1;257;275;266;248;18;04/01/2016;2;2;2;31.08.2018;8/31/2018;1/19/1983;35;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;11;9;1;5;0;0;3;2;1;0;19;22
31186095970;311860;1361025;3118601;31;3;Contagem;603442;601400;2042;Grande;195,045;2;257;275;293;249;20;16/01/2018;3;3;3;31.08.2018;8/31/2018;08/03/1958;60;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;3;9;11;1;10;0;0;1;0;10;0;13;23
31277096176;312770;1312375;3127701;31;3;Governador;263689;253300;10389;Grande;2342,325;1;257;275;266;249;272;27/04/2017;2;2;2;31.08.2018;8/31/2018;9/26/1959;58;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;4;2;5;1;3;0;0;1;4;0;0;7;11
31367097350;313670;875842;3136702;31;3;Juiz de For;516247;510378;5869;Grande;1435,749;2;257;275;264;254;263;01/02/2001;3;3;2;31.08.2018;8/31/2018;09/11/1962;55;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;7;22;18;4;6;0;0;3;0;0;0;47;47
31367097350;313670;327333;3136702;31;3;Juiz de For;516247;510378;5869;Grande;1435,749;1;257;275;264;254;18;14/10/1999;3;3;2;31.08.2018;8/31/2018;6/19/1975;43;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;7;22;18;4;6;0;0;3;0;0;0;47;47
31367097350;313670;992871;3136702;31;3;Juiz de For;516247;510378;5869;Grande;1435,749;1;258;275;264;249;20;15/04/2004;2;2;2;31.08.2018;8/31/2018;2/17/1982;36;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;7;22;18;4;6;0;0;3;0;0;0;47;47
