NU_IDENTIFICADOR;IBGE;q44_3;q44_9;q44_10;q44_11;q44_12;q44_13;q44_14;q44_15_1;q44_15_2;q44_15_3;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2022;Faixas_etarias;d44_9;d44_11;d44_9bin1;d44_9bin2;d44_9bin3;d44_10bin1;d44_10bin2;d44_10bin3;d44_10bin4;d44_10bin5;d44_11bin1;d44_11bin2;d44_11bin3;d44_11bin4;d44_9bin1_sum;d44_9bin2_sum;d44_9bin3_sum;d44_10bin1_sum;d44_10bin2_sum;d44_10bin3_sum;d44_10bin4_sum;d44_10bin5_sum;d44_11bin1_sum;d44_11bin2_sum;d44_11bin3_sum;d44_11bin4_sum;nu_trabalhadores;d44_15_1_1bin_Gestão;d44_15_1_1bin_PopRua;d44_15_1_1bin_Abordagem;d44_15_1_1bin_Cadastramento;d44_15_1_1bin_Outros;d44_15_2_1bin_Gestão;d44_15_2_1bin_PopRua;d44_15_2_1bin_Abordagem;d44_15_2_1bin_Cadastramento;d44_15_2_1bin_Outros;d44_15_3_1bin_Gestão;d44_15_3_1bin_PopRua;d44_15_3_1bin_Abordagem;d44_15_3_1bin_Cadastramento;d44_15_3_1bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d44_15_1_1bin_Gestão_sum;d44_15_1_1bin_PopRua_sum;d44_15_1_1bin_Abordagem_sum;d44_15_1_1bin_Cadastramento_sum;d44_15_1_1bin_Outros_sum;d44_15_2_1bin_Gestão_sum;d44_15_2_1bin_PopRua_sum;d44_15_2_1bin_Abordagem_sum;d44_15_2_1bin_Cadastramento_sum;d44_15_2_1bin_Outros_sum;d44_15_3_1bin_Gestão_sum;d44_15_3_1bin_PopRua_sum;d44_15_3_1bin_Abordagem_sum;d44_15_3_1bin_Cadastramento_sum;d44_15_3_1bin_Outros_sum;N_BREAK
29253098093;292530;1;255;239;266;254;20;01/06/2020;99; ; ;2925303;29;2;Porto Segur;727913;126929;104078;22851;Grande;2287,085; ;31.08.2022;8/31/2022;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;12;7;0;5;0;0;2;10;0;0;9;19; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;5;2; ;11; ; ; ; ; ; ; ; ; ; ;19
29253098093;292530;0;255;238;293;254;20;02/09/2022;99; ; ;2925303;29;2;Porto Segur;727913;126929;104078;22851;Grande;2287,085; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;12;7;0;5;0;0;2;10;0;0;9;19; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;5;2; ;11; ; ; ; ; ; ; ; ; ; ;19
29253098093;292530;0;255;238;138;248;20;15/05/2007;99; ; ;2925303;29;2;Porto Segur;727913;126929;104078;22851;Grande;2287,085; ;31.08.2022;8/31/2022;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;12;7;0;5;0;0;2;10;0;0;9;19; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;5;2; ;11; ; ; ; ; ; ; ; ; ; ;19
29274096880;292740;0;258;273;138;249;20;20/04/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;257;273;138;249;20;26/04/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;257;274;138;249;20;01/03/2021;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;0;257;273;138;249;20;26/04/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;257;232;293;249;262;21/09/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;4; ; ;1; ; ; ;1; ; ; ; ;1;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;257;237;293;248;263;12/04/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;257;237;293;248;263;05/09/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;257;237;293;248;263;05/05/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;255;238;293;248;263;07/07/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;255;238;292;254;20;01/01/2015;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;4;1;3; ;1; ; ; ; ; ; ; ; ;1; ;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;0;257;273;292;21;20;10/10/2022;2;1; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;3; ; ;1; ;1; ; ; ; ; ;1; ;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274096880;292740;1;255;238;293;254;263;10/06/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;3;9;0;4;0;1;1;4;0;2;6;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;12; ; ; ;1; ; ; ; ; ; ; ; ; ;12
29274097960;292740;0;255;238;293;251;263;01/08/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;1;257;232;293;249;262;21/09/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;4; ; ;1; ; ; ;1; ; ; ; ;1;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;1;255;238;293;251;263;18/10/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;0;257;274;138;249;20;20/04/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;0;257;273;138;249;20;25/04/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;1;257;273;138;249;20;02/03/2021;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;0;257;237;293;248;20;16/03/2020;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;1;255;238;293;370;263;15/10/2020;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;0;255;238;293;248;263;18/10/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;0;255;239;293;252;263;12/09/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;6;0;3;0;1;1;3;0;1;7;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274097960;292740;0;258;273;292;21;20;11/10/2022;1; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;2;3; ; ;1; ;1; ; ; ; ; ;1; ;0;5;6;0;3;0;1;1;3;0;1;7;11;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ;11
29274098131;292740;0;255;238;293;251;20;18/10/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;255;238;293;251;263;22/08/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;1;255;238;293;248;20;13/05/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;255;238;293;248;263;09/05/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;1;257;232;293;249;262;21/09/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;4; ; ;1; ; ; ;1; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;257;273;138;249;20;24/02/2021;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;1; ; ;1; ;1; ; ; ;1; ; ; ;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;1;255;238;293;248;263;26/03/2021;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;257;273;292;21;20;07/04/2022;1; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;3; ; ;1; ;1; ; ; ; ; ;1; ;1;9;6;0;3;0;1;2;4;0;1;11;16;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;255;238;293;248;263;16/09/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;257;274;138;249;20;24/02/2021;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;257;273;138;249;20;22/03/2021;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;2;1; ; ;1; ;1; ; ; ;1; ; ; ;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;1;255;239;293;254;263;19/09/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;252;239;293;252;20;24/10/2016; ; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;255;238;293;251;20;13/05/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;257;274;138;249;20;29/07/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098131;292740;0;255;238;293;248;263;25/08/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;6;0;3;0;1;2;4;0;1;11;16; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;14; ; ; ; ; ; ; ; ; ; ; ; ; ;16
29274098144;292740;1;255;238;293;248;263;03/12/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;0;258;275;266;248;20;23/05/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;1;257;232;293;249;262;21/09/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;4; ; ;1; ; ; ;1; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;1;256;238;293;251;20;03/01/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;0;257;273;138;249;20;02/05/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;1;257;273;266;249;20;30/06/2022;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;0;255;238;293;248;20;14/08/2018;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;1;255;239;293;254;263;29/03/2020;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;1;255;238;266;248;20;03/09/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;0;257;273;292;21;20;20/09/2022;1; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;4;2;3; ; ;1; ;1; ; ; ; ; ;1; ;0;6;6;1;4;0;1;0;1;0;1;10;12;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;0;255;239;293;252;20;05/06/2019;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29274098144;292740;0;257;273;293;249;263;10/05/2021;2; ; ;2927408;29;2;Salvador;3458571;2675656;2674923;733;Metrópole;692,818; ;31.08.2022;8/31/2022;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;6;6;1;4;0;1;0;1;0;1;10;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ;12
29313597746;293135;0;255;239;266;254;20;06/08/2020;2; ; ;2931350;29;2;Teixeira de;727913;138341;129263;9078;Grande;1165,622; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;7;7;1;2;0;0;2;2;0;1;12;15; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2;9;3; ; ; ; ; ; ; ; ; ; ; ; ;15
29313597746;293135;0;252;239;266;252;20;16/09/2021; ; ; ;2931350;29;2;Teixeira de;727913;138341;129263;9078;Grande;1165,622; ;31.08.2022;8/31/2022;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;7;7;1;2;0;0;2;2;0;1;12;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;9;3; ; ; ; ; ; ; ; ; ; ; ; ;15
29313597746;293135;1;257;237;292;21;20;01/06/2022;1; ; ;2931350;29;2;Teixeira de;727913;138341;129263;9078;Grande;1165,622; ;31.08.2022;8/31/2022;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;7;7;1;2;0;0;2;2;0;1;12;15;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;9;3; ; ; ; ; ; ; ; ; ; ; ; ;15
29313597746;293135;0;257;274;266;249;20;02/06/2022;2; ; ;2931350;29;2;Teixeira de;727913;138341;129263;9078;Grande;1165,622; ;31.08.2022;8/31/2022;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;1;7;7;1;2;0;0;2;2;0;1;12;15; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2;9;3; ; ; ; ; ; ; ; ; ; ; ; ;15
29313597746;293135;1;257;274;266;249;20;10/02/2022;2; ; ;2931350;29;2;Teixeira de;727913;138341;129263;9078;Grande;1165,622; ;31.08.2022;8/31/2022;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;1;7;7;1;2;0;0;2;2;0;1;12;15; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2;9;3; ; ; ; ; ; ; ; ; ; ; ; ;15
29313597746;293135;1;257;275;266;249;20;10/05/2022;2; ; ;2931350;29;2;Teixeira de;727913;138341;129263;9078;Grande;1165,622; ;31.08.2022;8/31/2022;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;7;7;1;2;0;0;2;2;0;1;12;15; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2;9;3; ; ; ; ; ; ; ; ; ; ; ; ;15
