IBGE;Estado_Municipio;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estado;DataCenso;DataCenso_2020;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras;filter_$
130260;2;1302603310450;0;257;232;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;1,00;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;256;239;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;1;257;275;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;256;238;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;255;239;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;257;273;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;257;237;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;;;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;255;239;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;258;273;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
130260;2;1302603310450;0;255;239;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;0;0;31.08.2020;31/ago/20;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;6,00;14,00;3,00;3,00;;1,00;1,00;;;;20,00;20;1
