IBGE;Estado_Municipio;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2020;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
130260;2;1302603310450;0;257;273;142;218;272;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;3,00;;1,00;;;2,00;;;;3,00;3;
130260;2;1302603310450;0;258;274;362;21;20;03/06/2019;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;3,00;;1,00;;;2,00;;;;3,00;3;
130260;2;1302603310450;0;258;274;142;218;18;03/06/2019;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;3,00;;1,00;;;2,00;;;;3,00;3;
130340;2;1303403309096;0;257;273;266;21;20;02/08/2020;1303403;13;1;Parintins;102033;69890;32143;Grande;5956,373;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;2,00;;2,00;;;;;;;2,00;2;
130340;2;1303403309096;0;257;273;266;218;20;02/08/2020;1303403;13;1;Parintins;102033;69890;32143;Grande;5956,373;;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;2,00;;2,00;;;;;;;2,00;2;
150157;2;1501573311598;0;257;275;266;218;272;02/10/2020;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;;;3,00;1,00;1,00;;;1,00;;;;3,00;3;
150157;2;1501573311598;0;257;274;266;218;262;01/07/2020;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;3,00;1,00;1,00;;;1,00;;;;3,00;3;
150157;2;1501573311598;0;257;273;266;21;262;01/01/2017;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;3,00;1,00;1,00;;;1,00;;;;3,00;3;
150230;2;1502303306524;0;257;274;266;218;272;29/05/2017;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;4,00;2,00;1,00;;;1,00;;;1,00;3,00;4;
150230;2;1502303306524;0;257;275;292;21;20;30/07/2020;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553;;31.08.2020;31/ago/20;4,00;2,00;3,00;;;1,00;1,00;;;;;;;1,00;;;;4,00;2,00;1,00;;;1,00;;;1,00;3,00;4;
