IBGE;q51_3;q51_9;q51_10;q51_11;q51_12;q51_13;q51_14;q51_15;q51_16;q51_17;UF;Regiao;Q_incompleto;DataCenso;DataCenso_2022;Faixas_etarias;d_51_9;d_51_9bin1;d_51_9bin2;d_51_9bin3;d_51_10;d_51_10bin1;d_51_10bin2;d_51_10bin3;d_51_10bin4;d_51_10bin5;d_51_11;d_51_11bin1;d_51_11bin2;d_51_11bin3;d_51_11bin4;d_51_9bin1_sum;d_51_9bin2_sum;d_51_9bin3_sum;d_51_10bin1_sum;d_51_10bin2_sum;d_51_10bin3_sum;d_51_10bin4_sum;d_51_10bin5_sum;d_51_11bin1_sum;d_51_11bin2_sum;d_51_11bin3_sum;d_51_11bin4_sum;nu_trabalhador;d_51_15_1bin_Gestão;d_51_15_1bin_Gestão_do_SUAS;d_51_15_1bin_Vigilância_Socioassistencial;d_51_15_1bin_Gestão_do_Trabalho;d_51_15_1bin_Regulação_do_SUAS;d_51_15_1bin_Gestão_Financeira_Orçamentária;d_51_15_1bin_PSB;d_51_15_1bin_PSE_Média_Complexidade;d_51_15_1bin_PSE_Alta_Complexidade;d_51_15_1bin_Gestão_CadÚnico;d_51_15_1bin_PBF;d_51_15_1bin_Gestão_Benefícios_Assistenciais;d_51_15_1bin_PCF;d_51_15_1bin_Outros;d_51_16_2bin_Gestão;d_51_16_2bin_Gestão_do_SUAS;d_51_16_2bin_Vigilância_Socioassistencial;d_51_16_2bin_Gestão_do_Trabalho;d_51_16_2bin_Regulação_do_SUAS;d_51_16_2bin_Gestão_Financeira_Orçamentária;d_51_16_2bin_PSB;d_51_16_2bin_PSE_Média_Complexidade;d_51_16_2bin_PSE_Alta_Complexidade;d_51_16_2bin_Gestão_CadÚnico;d_51_16_2bin_PBF;d_51_16_2bin_Gestão_Benefícios_Assistenciais;d_51_15_2bin_PCF;d_51_16_2bin_Outros;d_51_17_3bin_Gestão;d_51_17_3bin_Gestão_do_SUAS;d_51_17_3bin_Vigilância_Socioassistencial;d_51_17_3bin_Gestão_do_Trabalho;d_51_17_3bin_Regulação_do_SUAS;d_51_17_3bin_Gestão_Financeira_Orçamentária;d_51_17_3bin_PSB;d_51_17_3bin_PSE_Média_Complexidade;d_51_17_3bin_PSE_Alta_Complexidade;d_51_17_3bin_Gestão_CadÚnico;d_51_17_3bin_PBF;d_51_17_3bin_Gestão_Benefícios_Assistenciais;d_51_17_3bin_PCF;d_51_17_3bin_Outros;d_51_Gestão;d_51_Gestão_do_SUAS;d_51_Vigilância_Socioassistencial;d_51_Gestão_do_Trabalho;d_51_Regulação_do_SUAS;d_51_Gestão_Financeira_Orçamentária;d_51_PSB;d_51_PSE_Média_Complexidade;d_51_PSE_Alta_Complexidade;d_51_Gestão_CadÚnico;d_51_PBF;d_51_Gestão_Benefícios_Assistenciais;d_51_PCF;d_51_Outros;d_51_15_1bin_Gestão_sum;d_51_15_1bin_Gestão_do_SUAS_sum;d_51_15_1bin_Vigilância_Socioassistencial_sum;d_51_15_1bin_Gestão_do_Trabalho_sum;d_51_15_1bin_Regulação_do_SUAS_sum;d_51_15_1bin_Gestão_Financeira_Orçamentária_sum;d_51_15_1bin_PSB_sum;d_51_15_1bin_PSE_Média_Complexidade_sum;d_51_15_1bin_PSE_Alta_Complexidade_sum;d_51_15_1bin_Gestão_CadÚnico_sum;d_51_15_1bin_PBF_sum;d_51_15_1bin_Gestão_Benefícios_Assistenciais_sum;d_51_15_1bin_PCF_sum;d_51_15_1bin_Outros_sum;d_51_16_2bin_Gestão_sum;d_51_16_2bin_Gestão_do_SUAS_sum;d_51_16_2bin_Vigilância_Socioassistencial_sum;d_51_16_2bin_Gestão_do_Trabalho_sum;d_51_16_2bin_Regulação_do_SUAS_sum;d_51_16_2bin_Gestão_Financeira_Orçamentária_sum;d_51_16_2bin_PSB_sum;d_51_16_2bin_PSE_Média_Complexidade_sum;d_51_16_2bin_PSE_Alta_Complexidade_sum;d_51_16_2bin_Gestão_CadÚnico_sum;d_51_16_2bin_PBF_sum;d_51_16_2bin_Gestão_Benefícios_Assistenciais_sum;d_51_15_2bin_PCF_sum;d_51_16_2bin_Outros_sum;d_51_17_3bin_Gestão_sum;d_51_17_3bin_Gestão_do_SUAS_sum;d_51_17_3bin_Vigilância_Socioassistencial_sum;d_51_17_3bin_Gestão_do_Trabalho_sum;d_51_17_3bin_Regulação_do_SUAS_sum;d_51_17_3bin_Gestão_Financeira_Orçamentária_sum;d_51_17_3bin_PSB_sum;d_51_17_3bin_PSE_Média_Complexidade_sum;d_51_17_3bin_PSE_Alta_Complexidade_sum;d_51_17_3bin_Gestão_CadÚnico_sum;d_51_17_3bin_PBF_sum;d_51_17_3bin_Gestão_Benefícios_Assistenciais_sum;d_51_17_3bin_PCF_sum;d_51_17_3bin_Outros_sum;d_51_Gestão_sum;d_51_Gestão_do_SUAS_sum;d_51_Vigilância_Socioassistencial_sum;d_51_Gestão_do_Trabalho_sum;d_51_Regulação_do_SUAS_sum;d_51_Gestão_Financeira_Orçamentária_sum;d_51_PSB_sum;d_51_PSE_Média_Complexidade_sum;d_51_PSE_Alta_Complexidade_sum;d_51_Gestão_CadÚnico_sum;d_51_PBF_sum;d_51_Gestão_Benefícios_Assistenciais_sum;d_51_PCF_sum;d_51_Outros_sum;N_BREAK
23;0;257;237;293;222;20;18/08/2021; ; ; ;23;2; ;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;257;281;293;218;20;24/02/2022; ; ; ;23;2; ;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;293;222;20;01/03/2022; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;138;219;20;09/04/1985; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;264;219;20;03/08/2016; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;293;219;20;08/06/2020; ; ; ;23;2; ;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;138;216;20;01/02/2022; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;255;238;264;219;263;06/03/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;264;219;20;01/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;256;238;142;219;263;01/06/2012; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;255;238;293;222;20;14/01/2021; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;254;239;264;222;20;01/05/2012; ; ; ;23;2; ;31.08.2022;8/31/2022;3;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;255;238;264;219;20;03/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;255;238;293;219;20;01/12/2021; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;138;222;20;01/09/1979; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;257;273;138;218;18;01/11/1980; ; ; ;23;2; ;31.08.2022;8/31/2022;6;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;257;237;293;222;20;18/08/2021; ; ; ;23;2; ;31.08.2022;8/31/2022;2;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;257;237;264;218;20;07/04/2014; ; ; ;23;2; ;31.08.2022;8/31/2022;6;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;257;235;138;218;20;20/04/1980; ; ; ;23;2; ;31.08.2022;8/31/2022;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;258;273;139;218;18;01/02/2018; ; ; ;23;2; ;31.08.2022;8/31/2022;6;2; ; ;1;2; ;1; ; ; ;2; ;1; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;256;238;139;219;20;15/01/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;2; ;1; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;257;237;264;218;20;01/09/1995; ; ; ;23;2; ;31.08.2022;8/31/2022;6;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;255;238;264;219;20;01/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;256;238;293;219;20;02/01/2015; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;257;416;293;218;20;02/05/2012; ; ; ;23;2; ;31.08.2022;8/31/2022;6;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;264;219;20;01/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;256;238;264;219;20;01/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;254;239;293;222;20;01/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;5;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;257;273;139;219;20;03/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;2;2; ; ;1;2; ;1; ; ; ;2; ;1; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;257;232;293;218;20;01/08/2019; ; ; ;23;2; ;31.08.2022;8/31/2022;2;2; ; ;1;4; ; ; ;1; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;253;239;264;222;20;01/07/2017; ; ; ;23;2; ;31.08.2022;8/31/2022;6;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;256;238;293;222;20;10/07/2022; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;1;255;238;138;219;20;01/04/1970; ; ; ;23;2; ;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
23;0;255;238;139;219;20;14/01/2015; ; ; ;23;2; ;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;2; ;1; ; ;66;208;256;32;48;1;24;11;121;42;10;357;530; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;530
