IBGE;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras
120040;1200403306082;0;257;237;265;388;14/02/2020;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1; ;3; ; ; ; ; ; ; ; ;4;4
120040;1200403306082;1;257;237;265;388;25/06/2015;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1; ;3; ; ; ; ; ; ; ; ;4;4
120040;1200403306082;0;257;238;265;388;30/01/2015;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1; ;3; ; ; ; ; ; ; ; ;4;4
120040;1200403306082;0;252;239;265;388;14/05/2021;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1; ;3; ; ; ; ; ; ; ; ;4;4
130260;1302603310450;0;257;278;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;1;257;275;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;257;281;291;388;20/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;255;238;291;388;09/11/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;255;239;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;255;238;291;388;18/10/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;257;275;291;388;05/04/2021;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;257;237;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;255;238;291;388;01/12/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;258;275;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;5;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;256;239;291;388;24/05/2021;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;257;273;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;258;278;291;388;01/08/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;257;275;291;388;26/02/2021;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130260;1302603310450;0;255;238;291;388;11/11/2020;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;9;4;1; ; ; ; ; ; ;15;15
130340;1303403309096;0;255;238;291;388;01/10/2020;1303403;13;1;Parintins;102033;69890;32143;Grande;5956,373; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ;2;2
130340;1303403309096;0;256;238;291;388;01/06/2020;1303403;13;1;Parintins;102033;69890;32143;Grande;5956,373; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ;2;2
150157;1501573311598;0;254;239;291;388;15/07/2021;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616; ;2;31.08.2021;8/31/2021;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ;4;4
150157;1501573311598;0;253;239;291;388;15/07/2021;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616; ;2;31.08.2021;8/31/2021;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ;4;4
150157;1501573311598;0;252;239;142;388;28/07/2016;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ;4;4
150157;1501573311598;0;255;238;291;388;15/07/2021;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ;4;4
150230;1502303306524;0;257;232;291;388;06/02/2017;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ;1; ; ; ; ;1; ;1;1; ; ; ;1; ; ; ; ;2;2
150230;1502303306524;0;255;239;291;388;18/12/2017;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;2;31.08.2021;8/31/2021;5;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ;1; ; ; ; ;2;2
150510;1505103306376;0;255;238;265;388;20/03/2012;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150510;1505103306376;0;257;237;291;388;30/07/2015;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150510;1505103306376;0;255;237;265;388;01/02/2021;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;5;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150510;1505103306376;0;252;239;265;388;23/01/2012;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;5;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150510;1505103306376;0;255;238;265;388;09/01/2018;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150510;1505103306376;0;252;239;265;388;08/12/2017;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150510;1505103306376;0;257;273;265;388;01/02/2021;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150510;1505103306376;0;255;239;265;388;13/01/2012;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;4;2; ;1; ; ; ; ; ; ;8;8
150563;1505633308394;0;252;239;291;388;20/12/2014;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ;2;2
150563;1505633308394;0;255;239;291;388;01/10/2017;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708; ;2;31.08.2021;8/31/2021;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ;2;2
150680;1506803308526;0;252;239;265;388;21/03/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;31.08.2021;8/31/2021;5;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ; ; ; ; ;6;6
150680;1506803308526;0;255;239;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ; ; ; ; ;6;6
150680;1506803308526;0;257;235;265;388;19/09/2019;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ; ; ; ; ;6;6
150680;1506803308526;1;256;372;265;388;06/10/2016;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ; ; ; ; ;6;6
150680;1506803308526;0;256;238;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ; ; ; ; ;6;6
150680;1506803308526;0;252;239;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ; ; ; ; ;6;6
160060;1600603310408;0;257;275;264;388;04/01/2021;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ; ;1;1
170610;1706103306579;0;252;239;291;388;18/12/2018;1706100;17;1;Cristalândia;7234;5924;1310;Pequeno I;1848,241; ;2;31.08.2021;8/31/2021;1;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2;2
170610;1706103306579;0;252;239;291;388;19/12/2018;1706100;17;1;Cristalândia;7234;5924;1310;Pequeno I;1848,241; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2;2
171488;1714883308556;0;252;239;291;388;04/01/2021;1714880;17;1;Nova Olinda;10686;7465;3221;Pequeno I;1566,184; ;2;31.08.2021;8/31/2021;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1
17;1721003308700;0;253;239;291;388;01/12/2019; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1; ;1;1; ; ; ; ; ; ; ;2;2
17;1721003308700;0;257;275;291;388;01/12/2019; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1; ;1;1; ; ; ; ; ; ; ;2;2
172120;1721203312241;0;257;237;291;388;11/12/2019;1721208;17;1;Tocantinópolis;22619;18318;4301;Pequeno II;1077,073; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1;1
210047;2100473309442;0;255;238;291;388;10/07/2020;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;Pequeno II;1876,032; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ; ;3;3
210047;2100473309442;0;255;238;291;388;11/02/2020;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;Pequeno II;1876,032; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ; ;3;3
210047;2100473309442;0;254;239;291;388;23/11/2018;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;Pequeno II;1876,032; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ; ;3;3
210235;2102353308494;0;255;239;142;388;04/01/2021;2102358;21;2;Buritirana;14784;4146;10638;Pequeno I;818,424; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;1;1
210860;2108603308854;0;255;238;291;388;09/06/2021;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966; ;2;31.08.2021;8/31/2021;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ; ;3;3
210860;2108603308854;0;255;239;291;388;09/06/2021;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ; ;3;3
210860;2108603308854;0;252;239;291;388;09/06/2021;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966; ;2;31.08.2021;8/31/2021;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ; ;3;3
210910;2109103310316;0;255;239;291;388;21/01/2020;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
210910;2109103310316;0;252;239;291;388;20/09/2019;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
210910;2109103310316;0;253;239;291;388;23/10/2020;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
210910;2109103310316;0;257;237;291;388;01/06/2017;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
210910;2109103310316;0;253;239;291;388;20/09/2019;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
210910;2109103310316;0;255;239;291;388;11/10/2020;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
210910;2109103310316;0;255;239;291;388;23/01/2020;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
210910;2109103310316;0;257;232;291;388;23/07/2019;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ;1; ; ; ; ;1;3;3;2; ; ; ;1; ; ; ; ;8;8
211070;2110703308173;0;255;239;265;388;01/01/2018;2110708;21;2;São Domingos do Maranhão;33607;17313;16294;Pequeno II;1151,978; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ;2;2
211070;2110703308173;0;252;239;265;388;01/01/2018;2110708;21;2;São Domingos do Maranhão;33607;17313;16294;Pequeno II;1151,978; ;2;31.08.2021;8/31/2021;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ;2;2
211130;2111303306232;0;257;275;291;388;12/11/2008;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;5;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ;3;2;2; ; ; ; ; ; ; ;5;5
211130;2111303306232;0;255;238;291;388;28/07/2016;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;3;2;2; ; ; ; ; ; ; ;5;5
211130;2111303306232;0;255;238;291;388;24/07/2018;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;3;2;2; ; ; ; ; ; ; ;5;5
211130;2111303306232;0;256;238;291;388;23/06/2008;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;3;2;2; ; ; ; ; ; ; ;5;5
211130;2111303306232;0;257;275;291;388;28/07/2016;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;5;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ;3;2;2; ; ; ; ; ; ; ;5;5
211220;2112203307751;0;257;275;291;388;07/11/2018;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612; ;2;31.08.2021;8/31/2021;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1; ;1;1; ; ; ; ; ; ; ;2;2
211220;2112203307751;0;252;239;291;388;09/05/2018;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612; ;2;31.08.2021;8/31/2021;5;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1; ;1;1; ; ; ; ; ; ; ;2;2
221100;2211003306526;1;257;237;291;388;10/02/2012;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;5;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;2;4;1; ; ; ;1; ; ; ;8;8
