IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores
150157;1501573311598;0;257;274;266;218;262;01/07/2020;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
150157;1501573311598;0;257;273;266;21;262;01/01/2017;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
150230;1502303306524;0;257;274;266;218;20;04/01/2021;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;4;2;1; ; ;1; ; ; ;4;4
150230;1502303306524;0;257;275;266;21;20;04/01/2021;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;2;31.08.2021;8/31/2021;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ; ;4;2;1; ; ;1; ; ; ;4;4
150230;1502303306524;0;257;273;266;218;18;04/01/2021;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;4;2;1; ; ;1; ; ; ;4;4
150230;1502303306524;0;257;275;266;218;20;04/01/2021;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ; ;4;2;1; ; ;1; ; ; ;4;4
150280;1502803312949;0;257;274;138;21;20;10/09/2021;1502806;15;1;Curralinho;28549;10930;17619;Pequeno II;3617,252; ;2;31.08.2021;8/31/2021;4;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;2; ;1; ; ;1;2; ; ; ;2
150280;1502803312949;0;257;273;138;218;18;10/09/2021;1502806;15;1;Curralinho;28549;10930;17619;Pequeno II;3617,252; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;2; ;1; ; ;1;2; ; ; ;2
150510;1505103306376;0;257;274;266;218;20;04/01/2021;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;3; ;1; ; ;1;1; ; ;2;3
150510;1505103306376;0;257;273;266;218;20;17/06/2021;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;3; ;1; ; ;1;1; ; ;2;3
