IBGE;q85_3;q85_5;q85_6;q85_7;q85_8;q85_9;UF;Regiao;Q_incompleto;DataCenso;DataCenso_2021;Faixas_etarias;q85_8_rec;q85_9_rec;TempoMandato;d85_5;d85_5bin1;d85_5bin2;d85_5bin3;d85_6bin1;d85_6bin2;d85_6bin3;d85_6bin4;d85_6bin5;d85_6bin1_TIT;d85_6bin1_SUPL;d85_6bin2_TIT;d85_6bin2_SUPL;d85_6bin3_TIT;d85_6bin3_SUPL;d85_6bin4_TIT;d85_6bin4_SUPL;d85_6bin5_TIT;d85_6bin5_SUPL;d85_6bin1_sum;d85_6bin2_sum;d85_6bin3_sum;d85_6bin4_sum;d85_6bin5_sum;d85_6bin1_TIT_sum;d85_6bin1_SUPL_sum;d85_6bin2_TIT_sum;d85_6bin2_SUPL_sum;d85_6bin3_TIT_sum;d85_6bin3_SUPL_sum;d85_6bin4_TIT_sum;d85_6bin4_SUPL_sum;d85_6bin5_TIT_sum;d85_6bin5_SUPL_sum;nu_conselheiros
41;1;257;E;105;19/06/2021;19/06/2023;41;4; ;31.08.2021;8/31/2021;3;6/19/2021;6/19/2023;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;10;10;9;31;29;5;5;5;5;5;4;16;15;15;14;60
41;1;257;GA;106;01/01/2021;19/06/2023;41;4; ;31.08.2021;8/31/2021;3;1/1/2021;6/19/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;10;10;9;31;29;5;5;5;5;5;4;16;15;15;14;60
41;1;257;U;106;13/07/2021;19/06/2023;41;4; ;31.08.2021;8/31/2021;5;7/13/2021;6/19/2023;2;2; ; ;1;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;10;10;9;31;29;5;5;5;5;5;4;16;15;15;14;60
11;1;257;GS;106;19/10/2021;19/10/2023;11;1; ;31.08.2021;8/31/2021;4;10/19/2021;10/19/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;257;T;106;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;1;3/26/2021;3/26/2023;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;258;GE;105;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;4;3/26/2021;3/26/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;258;GE;106;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;4;3/26/2021;3/26/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;255;O;106;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;3;3/26/2021;3/26/2023;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;258;E;105;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;2;3/26/2021;3/26/2023;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;257;T;105;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;3;3/26/2021;3/26/2023;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;258;E;106;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;3;3/26/2021;3/26/2023;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;257;GA;106;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;3;3/26/2021;3/26/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;257;GA;20;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;2;3/26/2021;3/26/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;257;GS;105;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;3;3/26/2021;3/26/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;255;O;105;26/03/2021;26/03/2023;11;1; ;31.08.2021;8/31/2021;2;3/26/2021;3/26/2023;2;1; ;1; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
12;1;257;E;105;02/10/2020;02/10/2022;12;1; ;31.08.2021;8/31/2021;2;10/2/2020;10/2/2022;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;6;7;5;16;18;3;3;3;4;3;2;10;6;9;9;34
12;1;257;T;106;02/10/2020;02/10/2022;12;1; ;31.08.2021;8/31/2021;1;10/2/2020;10/2/2022;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;6;7;5;16;18;3;3;3;4;3;2;10;6;9;9;34
12;1;257;E;106;02/10/2020;02/10/2022;12;1; ;31.08.2021;8/31/2021;1;10/2/2020;10/2/2022;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;6;7;5;16;18;3;3;3;4;3;2;10;6;9;9;34
12;2;257;T;105;02/10/2020;02/10/2022;12;1; ;31.08.2021;8/31/2021;1;10/2/2020;10/2/2022;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;6;7;5;16;18;3;3;3;4;3;2;10;6;9;9;34
12;2;260;GO;105;02/10/2020;02/10/2022;12;1; ;31.08.2021;8/31/2021;5;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;7;5;16;18;3;3;3;4;3;2;10;6;9;9;34
12;1;254;U;105;02/10/2020;02/10/2022;12;1; ;31.08.2021;8/31/2021;1;10/2/2020;10/2/2022;2;0;1; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;6;7;5;16;18;3;3;3;4;3;2;10;6;9;9;34
12;1;255;U;106;02/10/2020;02/10/2022;12;1; ;31.08.2021;8/31/2021;1;10/2/2020;10/2/2022;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;6;7;5;16;18;3;3;3;4;3;2;10;6;9;9;34
