NU_IDENTIFICADOR;IBGE;IBGE7;Região;UF;Município;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;q44_3;q44_9;q44_10;q44_11;q44_12;q44_13;q44_14;q44_15_1;q44_15_2;q44_15_3;DataCenso;DataCenso_2020;q44_2_rec;Idade;Faixas_etarias;d_44_9;d_44_11;d_44_9bin1;d_44_9bin2;d_44_9bin3;d_44_10bin1;d_44_10bin2;d_44_10bin3;d_44_10bin4;d_44_10bin5;d_44_11bin1;d_44_11bin2;d_44_11bin3;d_44_11bin4;d_44_9bin1_sum;d_44_9bin2_sum;d_44_9bin3_sum;d_44_10bin1_sum;d_44_10bin2_sum;d_44_10bin3_sum;d_44_10bin4_sum;d_44_10bin5_sum;d_44_11bin1_sum;d_44_11bin2_sum;d_44_11bin3_sum;d_44_11bin4_sum;nu_trabalhadores;d_44_15_1bin_Gestão;d_44_15_1bin_PopRua;d_44_15_1bin_Abordagem;d_44_15_1bin_Cadastramento;d_44_15_1bin_Outros;d_44_15_2bin_Gestão;d_44_15_2bin_PopRua;d_44_15_2bin_Abordagem;d_44_15_2bin_Cadastramento;d_44_15_2bin_Outros;d_44_15_3bin_Gestão;d_44_15_3bin_PopRua;d_44_15_3bin_Abordagem;d_44_15_3bin_Cadastramento;d_44_15_3bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d_44_15_1bin_Gestão_sum;d_44_15_1bin_PopRua_sum;d_44_15_1bin_Abordagem_sum;d_44_15_1bin_Cadastramento_sum;d_44_15_1bin_Outros_sum;d_44_15_2bin_Gestão_sum;d_44_15_2bin_PopRua_sum;d_44_15_2bin_Abordagem_sum;d_44_15_2bin_Cadastramento_sum;d_44_15_2bin_Outros_sum;d_44_15_3bin_Gestão_sum;d_44_15_3bin_PopRua_sum;d_44_15_3bin_Abordagem_sum;d_44_15_3bin_Cadastramento_sum;d_44_15_3bin_Outros_sum
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;256;238;138;248;20;01/03/2012;3;;;31.08.2020;31-ago-2020;11-out-1982;37;2,00;1,00;1,00;;1,00;;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;257;237;138;248;20;26/07/2010;3;;;31.08.2020;31-ago-2020;02-abr-1984;36;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;257;276;138;248;263;12/10/2020;3;;;31.08.2020;31-ago-2020;30-mai-1984;36;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;1;257;237;138;248;20;05/12/2014;3;;;31.08.2020;31-ago-2020;20-out-1983;36;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;257;235;138;248;20;26/07/2010;3;;;31.08.2020;31-ago-2020;25-fev-1985;35;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;257;237;138;248;20;04/05/2011;3;;;31.08.2020;31-ago-2020;03-set-1984;35;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;1;255;238;138;248;20;28/02/2011;3;;;31.08.2020;31-ago-2020;13-abr-1985;35;2,00;1,00;1,00;;1,00;;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;1;257;237;138;251;18;12/03/2012;99;;;31.08.2020;31-ago-2020;21-out-1985;34;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;;;1,00;;;;;;;;;;;;;;;1,00;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;257;238;138;248;20;03/01/2015;3;;;31.08.2020;31-ago-2020;19-set-1985;34;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;257;238;138;248;20;22/06/2020;3;;;31.08.2020;31-ago-2020;11-mai-1987;33;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;0;257;237;138;248;20;03/09/2010;3;;;31.08.2020;31-ago-2020;12-jun-1988;32;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;1;256;238;138;248;20;02/09/2020;3;;;31.08.2020;31-ago-2020;06-nov-1987;32;2,00;1,00;1,00;;1,00;;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;1;257;237;292;21;20;01/03/2013;1;;;31.08.2020;31-ago-2020;26-abr-1989;31;2,00;2,00;3,00;;;1,00;;;;;;;;1,00;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;1,00;;;;;;;;;;;;;;;1,00;;;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;1;255;238;138;248;20;01/06/2018;3;;;31.08.2020;31-ago-2020;15-abr-1990;30;2,00;1,00;1,00;;1,00;;;;;;;1,00;;;;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;1,00;;;;;;;;;;;;;;;1,00;;;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.116.097.090;261.160;2.611.606;2;26;Recife;217,49;1.537.704,0000000000000000;1.537.704,0;;5;1;255;239;293;252;20;03/11/2015;99;;;31.08.2020;31-ago-2020;11-jan-1995;25;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;18,00;27,00;0,00;3,00;0,00;0,00;2,00;37,00;1,00;1,00;7,00;46;;;;;1,00;;;;;;;;;;;;;;;1,00;1,00;7,00;32,00;;5,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;0;258;275;266;248;18;01/08/2017;1;;;31.08.2020;31-ago-2020;28-out-1959;60;4,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;0;255;238;266;252;20;10/01/2020;1;;;31.08.2020;31-ago-2020;01-mai-1962;58;4,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;0;257;273;266;21;20;01/04/2017;1;;;31.08.2020;31-ago-2020;28-fev-1970;50;3,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;0;254;239;266;252;18;01/02/2017;;;;31.08.2020;31-ago-2020;20-dez-1973;46;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;;;;;;;;;;;;;;;;;;;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;1;255;238;266;248;20;10/01/2020;3;;;31.08.2020;31-ago-2020;14-fev-1978;42;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;;;1,00;;;;;;;;;;;;;;;1,00;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;0;258;274;266;249;18;10/01/2020;2;;;31.08.2020;31-ago-2020;12-dez-1980;39;2,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;;1,00;;;;;;;;;;;;;;;1,00;;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;0;255;238;266;248;20;10/01/2020;3;;;31.08.2020;31-ago-2020;16-nov-1982;37;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;;;1,00;;;;;;;;;;;;;;;1,00;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;1;255;239;266;254;20;10/01/2020;99;;;31.08.2020;31-ago-2020;10-nov-1986;33;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;;;;;1,00;;;;;;;;;;;;;;;1,00;3,00;2,00;2,00;;1,00;;;;;;;;;;
26.164.097.934;261.640;2.616.407;2;26;Vitória de Santo Antão;371,80;129.974,0000000000000000;113.429,0;16.545,0;4;0;257;273;266;249;18;01/02/2017;2;;;31.08.2020;31-ago-2020;11-jun-1990;30;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;1,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;9;;1,00;;;;;;;;;;;;;;;1,00;;;;3,00;2,00;2,00;;1,00;;;;;;;;;;
27.003.097.782;270.030;2.700.300;2;27;Arapiraca;351,48;214.006,0000000000000000;181.481,0;32.525,0;4;0;257;237;142;21;18;02/01/2020;2;;;31.08.2020;31-ago-2020;21-jul-1967;53;4,00;2,00;4,00;;;1,00;;;;;;;;;1,00;0,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;7,00;7;;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;;;4,00;;;;;1,00;;;;;
27.003.097.782;270.030;2.700.300;2;27;Arapiraca;351,48;214.006,0000000000000000;181.481,0;32.525,0;4;0;255;239;266;254;20;02/01/2020;99;99;;31.08.2020;31-ago-2020;20-jun-1983;37;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;0,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;7,00;7;;;;;1,00;;;;;1,00;;;;;;;;;;1,00;;3,00;;;4,00;;;;;1,00;;;;;
27.003.097.782;270.030;2.700.300;2;27;Arapiraca;351,48;214.006,0000000000000000;181.481,0;32.525,0;4;1;255;238;266;254;20;02/01/2020;99;;;31.08.2020;31-ago-2020;25-fev-1983;37;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;0,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;7,00;7;;;;;1,00;;;;;;;;;;;;;;;1,00;;3,00;;;4,00;;;;;1,00;;;;;
27.003.097.782;270.030;2.700.300;2;27;Arapiraca;351,48;214.006,0000000000000000;181.481,0;32.525,0;4;0;255;238;142;252;20;24/08/2020;99;;;31.08.2020;31-ago-2020;05-out-1983;36;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;0,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;7,00;7;;;;;1,00;;;;;;;;;;;;;;;1,00;;3,00;;;4,00;;;;;1,00;;;;;
27.003.097.782;270.030;2.700.300;2;27;Arapiraca;351,48;214.006,0000000000000000;181.481,0;32.525,0;4;0;260;273;266;249;18;02/01/2020;2;;;31.08.2020;31-ago-2020;31-jul-1989;31;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;0,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;7,00;7;;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;;;4,00;;;;;1,00;;;;;
27.003.097.782;270.030;2.700.300;2;27;Arapiraca;351,48;214.006,0000000000000000;181.481,0;32.525,0;4;0;257;274;266;249;18;02/01/2020;2;;;31.08.2020;31-ago-2020;21-set-1992;27;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;0,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;7,00;7;;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;;;4,00;;;;;1,00;;;;;
27.003.097.782;270.030;2.700.300;2;27;Arapiraca;351,48;214.006,0000000000000000;181.481,0;32.525,0;4;0;255;238;266;248;20;02/01/2020;99;;;31.08.2020;31-ago-2020;13-nov-1993;26;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;0,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;7,00;7;;;;;1,00;;;;;;;;;;;;;;;1,00;;3,00;;;4,00;;;;;1,00;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;253;239;293;252;20;02/12/2013;;;;31.08.2020;31-ago-2020;14-ago-1950;70;5,00;0,00;4,00;1,00;;;;;;;;;;;1,00;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;;;;;;;;;;;;;;;;;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;257;273;138;249;18;04/06/2007;2;;;31.08.2020;31-ago-2020;07-mai-1955;65;5,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;258;274;138;249;18;22/04/2008;2;;;31.08.2020;31-ago-2020;20-mar-1961;59;4,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;257;274;266;249;18;01/07/2016;2;;;31.08.2020;31-ago-2020;16-mar-1961;59;4,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;258;273;138;251;18;12/05/1988;2;;;31.08.2020;31-ago-2020;20-dez-1960;59;4,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;258;273;138;21;18;16/05/2008;2;;;31.08.2020;31-ago-2020;25-abr-1963;57;4,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;1;257;275;138;251;18;23/05/2008;2;;;31.08.2020;31-ago-2020;02-fev-1973;47;3,00;2,00;1,00;;;1,00;1,00;;;;;1,00;;;;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;260;274;138;249;18;23/04/2008;2;;;31.08.2020;31-ago-2020;05-dez-1977;42;3,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;255;239;293;252;20;02/12/2013;2;;;31.08.2020;31-ago-2020;30-mai-1984;36;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;256;238;266;370;20;01/07/2016;2;;;31.08.2020;31-ago-2020;09-abr-1986;34;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;1;257;237;266;248;20;20/06/2018;2;;;31.08.2020;31-ago-2020;06-mar-1989;31;2,00;2,00;4,00;;;1,00;;;;;;;;;1,00;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.094.756;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;1;255;239;293;254;20;08/06/2016;2;;;31.08.2020;31-ago-2020;20-mai-1994;26;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;3,00;8,00;1,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;6,00;12;;1,00;;;;;;;;;;;;;;;1,00;;;;;11,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;257;237;266;370;20;01/07/2016;2;;;31.08.2020;31-ago-2020;19-set-1955;64;5,00;2,00;4,00;;;1,00;;;;;;;;;1,00;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;255;238;293;252;263;02/12/2013;2;;;31.08.2020;31-ago-2020;21-dez-1955;64;5,00;1,00;4,00;;1,00;;;;;;;;;;1,00;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;257;273;138;249;18;22/11/2013;2;;;31.08.2020;31-ago-2020;01-dez-1962;57;4,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;1;253;239;293;252;263;15/04/2019;;;;31.08.2020;31-ago-2020;24-mar-1977;43;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;;;;;;;;;;;;;;;;;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;1;258;232;138;251;18;22/11/2013;2;;;31.08.2020;31-ago-2020;14-dez-1977;42;3,00;2,00;1,00;;;1,00;;;;1,00;;1,00;;;;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;258;274;138;249;18;19/04/2008;2;;;31.08.2020;31-ago-2020;20-fev-1978;42;3,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;258;273;266;249;18;01/08/2016;2;;;31.08.2020;31-ago-2020;27-jan-1979;41;3,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;257;237;266;248;20;01/07/2016;2;;;31.08.2020;31-ago-2020;16-mar-1981;39;2,00;2,00;4,00;;;1,00;;;;;;;;;1,00;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;258;274;138;249;18;22/11/2013;2;;;31.08.2020;31-ago-2020;12-set-1981;38;2,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;0;253;239;293;252;263;08/10/2018;;;;31.08.2020;31-ago-2020;23-fev-1984;36;2,00;0,00;4,00;1,00;;;;;;;;;;;1,00;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;;;;;;;;;;;;;;;;;;;;;9,00;;;;;;;;;;;;;
27.043.097.166;270.430;2.704.302;2;27;Maceió;510,66;932.748,0000000000000000;932.129,0;619,0;5;1;260;274;138;21;20;17/11/2014;2;;;31.08.2020;31-ago-2020;15-fev-1985;35;2,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;2,00;1,00;8,00;0,00;2,00;0,00;1,00;3,00;5,00;0,00;0,00;6,00;11;;1,00;;;;;;;;;;;;;;;1,00;;;;;9,00;;;;;;;;;;;;;
27.063.098.112;270.630;2.706.307;2;27;Palmeira Dos Índios;460,61;70.368,0000000000000000;51.610,0;18.758,0;3;0;258;273;266;249;18;02/08/2017;3;;;31.08.2020;31-ago-2020;14-mar-1977;43;3,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;0,00;3,00;6,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;9,00;9;;;1,00;;;;;;;;;;;;;;;1,00;;;2,00;2,00;4,00;;1,00;;;;;;;;;;
