IBGE;NU_IDENTIFICADOR;q47_3;q47_8;q47_9;q47_10;q47_11;q47_12;q47_13;q47_14;q47_15;IBGE7;UF;Regiao;Município;areaKm2;Nome_UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q1;DataCenso;DataCenso_2024;Faixas_etarias;d_47_8;d_47_8bin1;d_47_8bin2;d_47_8bin3;d_47_9;d_47_9bin1;d_47_9bin2;d_47_9bin3;d_47_9bin4;d_47_9bin5;d_47_10;d_47_10bin1;d_47_10bin2;d_47_10bin3;d_47_10bin4;d_47_8bin1_sum;d_47_8bin2_sum;d_47_8bin3_sum;d_47_9bin1_sum;d_47_9bin2_sum;d_47_9bin3_sum;d_47_9bin4_sum;d_47_9bin5_sum;d_47_10bin1_sum;d_47_10bin2_sum;d_47_10bin3_sum;d_47_10bin4_sum;nu_trabalhador;d_47_14_1bin_Gestão;d_47_14_1bin_PAIF;d_47_14_1bin_SCFV;d_47_14_1bin_PSB;d_47_14_1bin_Cadastramento;d_47_14_1bin_Beneficios;d_47_14_1bin_PCF;d_47_14_1bin_Outros;d_47_15_2bin_Gestão;d_47_15_2bin_PAIF;d_47_15_2bin_SCFV;d_47_15_2bin_PSB;d_47_15_2bin_Cadastramento;d_47_15_2bin_Beneficios;d_47_15_2bin_PCF;d_47_15_2bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_47_14_1bin_Gestão_sum;d_47_14_1bin_PAIF_sum;d_47_14_1bin_SCFV_sum;d_47_14_1bin_PSB_sum;d_47_14_1bin_Cadastramento_sum;d_47_14_1bin_Beneficios_sum;d_47_14_1bin_PCF_sum;d_47_14_1bin_Outros_sum;d_47_15_2bin_Gestão_sum;d_47_15_2bin_PAIF_sum;d_47_15_2bin_SCFV_sum;d_47_15_2bin_PSB_sum;d_47_15_2bin_Cadastramento_sum;d_47_15_2bin_Beneficios_sum;d_47_15_2bin_PCF_sum;d_47_15_2bin_Outros_sum
110033;11003398012; Feminino;Superior Completo;Outra(o) profissional de nível superior; Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/09/2022; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;1100338;Rondonia;Região Norte; ;10070,49;RO;25444;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;1;2;2;0;0;0;0;1;3;0;2;0;5; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;2; ; ; ; ; ;1; ; ; ; ; ; ; ; 
110045;11004598072; Feminino;Superior Completo;Assistente Social; Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 21 a 30 horas semanais;24/07/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço Especializado em Abordagem Social;1100452;Rondonia;Região Norte; ;3265,809;RO;27992;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;1;6;1;1;0;2;1;3;2;2;0;7; ;PAIF; ; ; ; ; ; ; ; ; ;Serviço de PSB no domicílio; ; ; ; ; ;1; ;1; ; ; ; ;4;2;1; ; ; ; ; ; ; ; ;2; ; ; ;5
110045;11004598072; Feminino;Superior Completo; Psicóloga(o); Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;27/09/2018; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço Especializado em Abordagem Social;1100452;Rondonia;Região Norte; ;3265,809;RO;27992;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Comissionado; ; ;Comissionado; ;0;1;6;1;1;0;2;1;3;2;2;0;7; ;PAIF; ; ; ; ; ; ; ; ; ;Serviço de PSB no domicílio; ; ; ; ; ;1; ;1; ; ; ; ;4;2;1; ; ; ; ; ; ; ; ;2; ; ; ;5
110045;11004598072; Masculino;Superior Completo;Advogada(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 11 a 20 horas semanais;04/09/2018; Atividades de gestão (administrativo); Outros;1100452;Rondonia;Região Norte; ;3265,809;RO;27992;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;1;6;1;1;0;2;1;3;2;2;0;7;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;2;1; ; ; ; ; ; ; ; ;2; ; ; ;5
110045;11004598072; Feminino;Superior Completo;Outra(o) profissional de nível superior; Empregada(o) Pública(o) (CLT); Educador(a) Social; De 31 a 40 horas semanais;11/08/2022; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade); Outros;1100452;Rondonia;Região Norte; ;3265,809;RO;27992;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Empregado Público (CLT); ;Empregado Público (CLT); ; ;0;1;6;1;1;0;2;1;3;2;2;0;7; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ; ; ; ; ; ; ;Outros; ; ;1; ; ; ; ;1;4;2;1; ; ; ; ; ; ; ; ;2; ; ; ;5
110045;11004598072; Masculino;Superior Completo;Advogada(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 11 a 20 horas semanais;03/11/2014; Atividades de gestão (administrativo); Outros;1100452;Rondonia;Região Norte; ;3265,809;RO;27992;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;1;6;1;1;0;2;1;3;2;2;0;7;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;2;1; ; ; ; ; ; ; ; ;2; ; ; ;5
110045;11004598072; Feminino; Médio Completo; Profissional de nível médio; Empregada(o) Pública(o) (CLT); Apoio Administrativo; De 31 a 40 horas semanais;11/08/2022; Atividades de gestão (administrativo); Outros;1100452;Rondonia;Região Norte; ;3265,809;RO;27992;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Empregado Público (CLT); ;Empregado Público (CLT); ; ;0;1;6;1;1;0;2;1;3;2;2;0;7;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;2;1; ; ; ; ; ; ; ; ;2; ; ; ;5
110045;11004598072; Feminino;Superior Completo; Pedagoga(o); Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;21/05/2024; Atividades de gestão (administrativo); Outros;1100452;Rondonia;Região Norte; ;3265,809;RO;27992;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Pedagogo;Pedagogo; ; ; ; ;Comissionado; ; ;Comissionado; ;0;1;6;1;1;0;2;1;3;2;2;0;7;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;2;1; ; ; ; ; ; ; ; ;2; ; ; ;5
110001;11100013331; Feminino;Superior Completo; Pedagoga(o); Empregada(o) Pública(o) (CLT); Educador(a) Social; De 31 a 40 horas semanais;15/07/2024; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade); ;1100015;Rondonia;Região Norte; ;7067,127;RO;21494;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Pedagogo;Pedagogo; ; ; ; ;Empregado Público (CLT); ;Empregado Público (CLT); ; ;0;0;4;1;0;0;1;1;1;1;1;1;4; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; 
110001;11100013331; Feminino;Superior Completo; Psicóloga(o); Comissionada(o); Técnico(a) de nível superior; De 41 a 44 horas semanais;05/07/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;1100015;Rondonia;Região Norte; ;7067,127;RO;21494;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Comissionado; ; ;Comissionado; ;0;0;4;1;0;0;1;1;1;1;1;1;4; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; 
