IBGE;NU_IDENTIFICADOR;q47_3;q47_8;q47_9;q47_10;q47_11;q47_12;q47_13;q47_14;q47_15;IBGE7;UF;Regiao;Município;areaKm2;Nome_UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q1;DataCenso;DataCenso_2024;Faixas_etarias;d_47_8;d_47_8bin1;d_47_8bin2;d_47_8bin3;d_47_9;d_47_9bin1;d_47_9bin2;d_47_9bin3;d_47_9bin4;d_47_9bin5;d_47_10;d_47_10bin1;d_47_10bin2;d_47_10bin3;d_47_10bin4;d_47_8bin1_sum;d_47_8bin2_sum;d_47_8bin3_sum;d_47_9bin1_sum;d_47_9bin2_sum;d_47_9bin3_sum;d_47_9bin4_sum;d_47_9bin5_sum;d_47_10bin1_sum;d_47_10bin2_sum;d_47_10bin3_sum;d_47_10bin4_sum;nu_trabalhador;d_47_14_1bin_Gestão;d_47_14_1bin_PAIF;d_47_14_1bin_SCFV;d_47_14_1bin_PSB;d_47_14_1bin_Cadastramento;d_47_14_1bin_Beneficios;d_47_14_1bin_PCF;d_47_14_1bin_Outros;d_47_15_2bin_Gestão;d_47_15_2bin_PAIF;d_47_15_2bin_SCFV;d_47_15_2bin_PSB;d_47_15_2bin_Cadastramento;d_47_15_2bin_Beneficios;d_47_15_2bin_PCF;d_47_15_2bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_47_14_1bin_Gestão_sum;d_47_14_1bin_PAIF_sum;d_47_14_1bin_SCFV_sum;d_47_14_1bin_PSB_sum;d_47_14_1bin_Cadastramento_sum;d_47_14_1bin_Beneficios_sum;d_47_14_1bin_PCF_sum;d_47_14_1bin_Outros_sum;d_47_15_2bin_Gestão_sum;d_47_15_2bin_PAIF_sum;d_47_15_2bin_SCFV_sum;d_47_15_2bin_PSB_sum;d_47_15_2bin_Cadastramento_sum;d_47_15_2bin_Beneficios_sum;d_47_15_2bin_PCF_sum;d_47_15_2bin_Outros_sum
230960;12309600242; Feminino;Superior Completo;Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;01/12/2023; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);2309607;Ceará;Região Nordeste; ;250,304;CE;70983;Medio;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;4;5;0;3;0;1;1;3;0;1;6;10; ;PAIF; ; ; ; ; ; ; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ;1;1; ; ; ; ; ;2;4; ;2; ; ; ;1; ;1;5;1; ; ; ;1
230960;12309600242; Masculino; Fundamental Incompleto; Sem formação profissional; Servidor(a)/Estatutário(a); Outros; De 31 a 40 horas semanais;02/01/2024; ; ;2309607;Ceará;Região Nordeste; ;250,304;CE;70983;Medio;completo;Municipal;31.08.2024;8/31/2024;Mais de 60 anos;Nível fundamental;Nível fundamental; ; ;Outro profissional de nivel superior; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;4;5;0;3;0;1;1;3;0;1;6;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4; ;2; ; ; ;1; ;1;5;1; ; ; ;1
230960;12309600242; Feminino; Médio Completo; Profissional de nível médio; Servidor(a)/Estatutário(a);Serviços Gerais (limpeza, conservação, motoristas, etc.); De 31 a 40 horas semanais;08/08/2023; Outros; ;2309607;Ceará;Região Nordeste; ;250,304;CE;70983;Medio;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;4;5;0;3;0;1;1;3;0;1;6;10; ; ; ; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;4; ;2; ; ; ;1; ;1;5;1; ; ; ;1
230970;12309701875; Feminino;Superior Completo;Advogada(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;08/02/2017; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ;PAIF; ; ; ; ; ; ; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ;1;1; ; ; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino; Médio Completo; Profissional de nível médio; Servidor(a) Temporária(o); Educador(a) Social; De 31 a 40 horas semanais;20/02/2017; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço Especializado em Abordagem Social;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ;PAIF; ; ; ; ; ; ; ; ; ;Serviço de PSB no domicílio; ; ; ; ; ;1; ;1; ; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino; Médio Completo; Profissional de nível médio; Servidor(a) Temporária(o); Educador(a) Social; De 31 a 40 horas semanais;02/08/2023; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço Especializado em Abordagem Social;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ;PAIF; ; ; ; ; ; ; ; ; ;Serviço de PSB no domicílio; ; ; ; ; ;1; ;1; ; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino;Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/10/2019; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço de Proteção Social Especial para Pessoas com Deficiência, Idosos e suas Famílias;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ;PAIF; ; ; ; ; ; ; ; ; ; ;Cadastramento e/ou Atualização Cadastral (CadÚnico); ; ; ; ;1; ; ;1; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Masculino; Médio Completo; Profissional de nível médio; Servidor(a) Temporária(o); Educador(a) Social; De 31 a 40 horas semanais;01/07/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço Especializado em Abordagem Social;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ;PAIF; ; ; ; ; ; ; ; ; ;Serviço de PSB no domicílio; ; ; ; ; ;1; ;1; ; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino; Médio Completo; Sem formação profissional; Servidor(a) Temporária(o); Outros; De 31 a 40 horas semanais;03/11/2020; Outros; ;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ; ; ; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino; Médio Completo; Sem formação profissional; Servidor(a) Temporária(o);Serviços Gerais (limpeza, conservação, motoristas, etc.); De 31 a 40 horas semanais;01/06/2022; Outros; ;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ; ; ; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino;Superior Completo;Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;16/03/2023; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço de Proteção Social Especial para Pessoas com Deficiência, Idosos e suas Famílias;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ;PAIF; ; ; ; ; ; ; ; ; ; ;Cadastramento e/ou Atualização Cadastral (CadÚnico); ; ; ; ;1; ; ;1; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Masculino; Médio Completo; Sem formação profissional; Servidor(a)/Estatutário(a); Outros; De 31 a 40 horas semanais;02/01/2003; Outros; ;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;6;5;0;3;0;1;1;2;0;0;10;12; ; ; ; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Masculino; Fundamental Incompleto; Sem formação profissional; Servidor(a)/Estatutário(a); Outros; De 31 a 40 horas semanais;03/11/2020; ; ;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Nível fundamental; ; ;Outro profissional de nivel superior; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;6;5;0;3;0;1;1;2;0;0;10;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino;Superior Completo;Assistente Social; Servidor(a) Temporária(o); Coordenador(a); De 31 a 40 horas semanais;01/07/2023; Atividades de gestão (administrativo); ;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
230970;12309701875; Feminino;Superior Completo;Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;02/08/2023; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;2309706;Ceará;Região Nordeste; ;133,236;CE;81524;Medio;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;6;5;0;3;0;1;1;2;0;0;10;12; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;7; ; ; ; ; ;3; ; ;1;3;2; ; ; 
231020;12310201583; Feminino; Médio Completo; Sem formação profissional; Servidor(a)/Estatutário(a);Serviços Gerais (limpeza, conservação, motoristas, etc.); De 31 a 40 horas semanais;05/10/2015; Outros; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;2;6;3;0;2;0;1;0;4;0;4;3;11; ; ; ; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Feminino;Superior Completo;Assistente Social; Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;14/08/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ;2;6;3;0;2;0;1;0;4;0;4;3;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Masculino; Médio Completo; Profissional de nível médio; Outro vínculo não permanente; Educador(a) Social; De 31 a 40 horas semanais;09/07/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;2;6;3;0;2;0;1;0;4;0;4;3;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Masculino; Médio Completo; Sem formação profissional; Comissionada(o); Apoio Administrativo; De 31 a 40 horas semanais;01/06/2023; Outros; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;2;6;3;0;2;0;1;0;4;0;4;3;11; ; ; ; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Feminino; Médio Completo; Sem formação profissional; Comissionada(o); Apoio Administrativo; De 31 a 40 horas semanais;03/07/2023; Atividades de gestão (administrativo); ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;2;6;3;0;2;0;1;0;4;0;4;3;11;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Feminino; Médio Incompleto; Sem formação profissional; Comissionada(o); Apoio Administrativo; De 31 a 40 horas semanais;01/07/2024; ; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível fundamental;Nível fundamental; ; ;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;2;6;3;0;2;0;1;0;4;0;4;3;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Masculino;Superior Completo;Advogada(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 11 a 20 horas semanais;03/08/2015; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Servidor Estatutário;Servidor Estatutário; ; ; ;2;6;3;0;2;0;1;0;4;0;4;3;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Masculino; Superior Incompleto; Profissional de nível médio; Servidor(a)/Estatutário(a); Apoio Administrativo; De 31 a 40 horas semanais;21/05/2024; Atividades de gestão (administrativo); ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;2;6;3;0;2;0;1;0;4;0;4;3;11;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Feminino;Superior Completo;Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;09/07/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;2;6;3;0;2;0;1;0;4;0;4;3;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Masculino; Fundamental Incompleto; Sem formação profissional; Servidor(a)/Estatutário(a); Outros; De 31 a 40 horas semanais;10/07/2017; ; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Nível fundamental; ; ;Outro profissional de nivel superior; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;2;6;3;0;2;0;1;0;4;0;4;3;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231020;12310201583; Feminino; Superior Incompleto; Sem formação profissional; Outro vínculo não permanente; Educador(a) Social; De 31 a 40 horas semanais;14/08/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;2310209;Ceará;Região Nordeste; ;304,734;CE;38980;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;2;6;3;0;2;0;1;0;4;0;4;3;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; 
231025;12310250916; Feminino;Superior Completo;Assistente Social; Comissionada(o); Coordenador(a); De 21 a 30 horas semanais;04/07/2022; Atividades de gestão (administrativo); Concessão Benefícios Eventual;2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ;1;3;7;1;4;0;1;1;4;0;1;6;11;Gestão; ; ; ; ; ; ; ; ; ; ; ; ;Concessão de Benefícios Eventuais; ; ;1; ; ; ; ;1; ; ;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Feminino;Superior Completo; Pedagoga(o); Servidor(a) Temporária(o); Educador(a) Social; De 31 a 40 horas semanais;17/04/2024; Serviço Especializado em Abordagem Social; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Pedagogo;Pedagogo; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;3;7;1;4;0;1;1;4;0;1;6;11; ; ; ;Serviço de PSB no domicílio; ; ; ; ; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ; ;1;1; ; ; ; ;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Feminino;Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;08/06/2022; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Concessão Benefícios Eventual;2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;3;7;1;4;0;1;1;4;0;1;6;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ;Concessão de Benefícios Eventuais; ; ; ;1; ; ; ;1; ; ;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Masculino;Superior Completo;Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;12/08/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Cadastramento e/ou Atualização cadastral (Cadúnico);2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;3;7;1;4;0;1;1;4;0;1;6;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ;Programa Criança Feliz; ; ;1; ; ; ; ;1; ;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Feminino;Superior Completo;Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;04/07/2022; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Concessão Benefícios Eventual;2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;3;7;1;4;0;1;1;4;0;1;6;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ;Concessão de Benefícios Eventuais; ; ; ;1; ; ; ;1; ; ;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Feminino;Superior Completo;Advogada(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;04/07/2022; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Cadastramento e/ou Atualização cadastral (Cadúnico);2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;3;7;1;4;0;1;1;4;0;1;6;11; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ;Programa Criança Feliz; ; ;1; ; ; ; ;1; ;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Masculino; Médio Completo; Profissional de nível médio; Servidor(a)/Estatutário(a); Outros; De 31 a 40 horas semanais;21/12/2016; Atividades de gestão (administrativo); Outros;2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;3;7;1;4;0;1;1;4;0;1;6;11;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Masculino; Médio Completo; Sem formação profissional; Servidor(a) Temporária(o); Educador(a) Social; De 31 a 40 horas semanais;01/02/2024; Serviço Especializado em Abordagem Social; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;3;7;1;4;0;1;1;4;0;1;6;11; ; ; ;Serviço de PSB no domicílio; ; ; ; ; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ; ;1;1; ; ; ; ;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Feminino;Superior Completo;Assistente Social; Servidor(a)/Estatutário(a); Apoio Administrativo; De 31 a 40 horas semanais;11/09/2023; Atividades de gestão (administrativo); Outros;2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;3;7;1;4;0;1;1;4;0;1;6;11;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
231025;12310250916; Feminino; Médio Completo; Profissional de nível médio; Servidor(a)/Estatutário(a);Serviços Gerais (limpeza, conservação, motoristas, etc.); De 31 a 40 horas semanais;27/01/2006; Atividades de gestão (administrativo); Outros;2310258;Ceará;Região Nordeste; ;289,231;CE;32216;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;3;7;1;4;0;1;1;4;0;1;6;11;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;4; ;2; ; ; ; ; ; ;2; ; ;3;2;3
