NU_IDENTIFICADOR;IBGE;q40_3;q40_8;q40_9;q40_10;q40_11;q40_12;q40_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2022;Faixas_etarias;d40_8;d40_8bin1;d40_8bin2;d40_8bin3;d40_9;d40_9bin1;d40_9bin2;d40_9bin3;d40_9bin4;d40_9bin5;d40_10;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_8bin1_sum;d40_8bin2_sum;d40_8bin3_sum;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_9bin4_sum;d40_9bin5_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;nu_trabalhador
484487;241200;1;256;239;138;251;18;10/06/2003;2412005;24;2;São Gonçalo do Amarante;87668;74099;13569;Médio;249,124;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ; ;12;2; ;2; ; ; ;3; ;4;7;14
484506;320320;0;257;273;138;249;272;03/01/2013;3203205;32;3;Linhares;141306;121567;19739;Grande;3496,559;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;5;24;10; ;7; ; ; ;22; ;8;9;39
485619;231290;0;256;238;266;250;20;02/08/2021;2312908;23;2;Sobral;188233;166310;21923;Grande;2122,897;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;30;22;1;3; ;1;1; ; ;2;50;52
485728;241490;1;257;275;292;21;20;11/01/2021;2414902;24;2;Viçosa;1618;1541;77;Pequeno I;37,905;0;31.08.2022;8/31/2022;4;2; ; ;1;1;1; ; ; ; ;3; ; ;1; ; ; ;2;1;1; ; ; ; ; ;2; ;2
485738;231020;0;255;239;138;251;20;02/01/2016;2310209;23;2;Paracuru;31636;20589;11047;Pequeno II;300,286;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ; ;11;5; ; ; ; ; ;3; ; ;13;16
485938;351680;0;257;275;138;21;20;26/07/2007;3516804;35;3;Gastão Vidigal;4193;3756;437;Pequeno I;180,569;0;31.08.2022;8/31/2022;4;2; ; ;1;1;1; ; ; ; ;1;1; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ;1
485967;240780;0;255;239;266;370;20;28/06/2022;2407807;24;2;Monte Alegre;20685;9002;11683;Pequeno II;210,916;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;5;3;1;2; ; ; ; ; ;2;6;8
486007;260410;0;256;237;142;254;20;15/01/2020;2604106;26;2;Caruaru;314912;279589;35323;Grande;920,61;0;31.08.2022;8/31/2022;5;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;16;14;1;9; ; ; ; ; ;1;29;30
486013;230500;1;256;239;142;370;20;01/11/2021;2305001;23;2;Guaraciaba do Norte;37775;17403;20372;Pequeno II;611,464;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;5;4;2;2; ; ; ;2; ;2;5;9
486013;230500;0;257;275;142;370;20;01/11/2021;2305001;23;2;Guaraciaba do Norte;37775;17403;20372;Pequeno II;611,464;0;31.08.2022;8/31/2022;2;2; ; ;1;1;1; ; ; ; ;4; ; ; ;1; ;5;4;2;2; ; ; ;2; ;2;5;9
486013;230500;0;256;239;142;370;20;01/11/2021;2305001;23;2;Guaraciaba do Norte;37775;17403;20372;Pequeno II;611,464;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;5;4;2;2; ; ; ;2; ;2;5;9
486063;314710;0;257;273;138;370;20;01/09/2022;3147105;31;3;Pará de Minas;84215;79599;4616;Médio;551,247;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;3;4; ;1; ; ; ;4; ;1;2;7
486099;230770;0;255;238;266;370;20;15/02/2021;2307700;23;2;Maranguape;113561;86309;27252;Grande;590,873;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;8;1; ; ; ;1; ; ; ;1;8;9
486099;230770;0;256;238;266;370;20;02/02/2021;2307700;23;2;Maranguape;113561;86309;27252;Grande;590,873;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;8;1; ; ; ;1; ; ; ;1;8;9
486125;231400;0;257;273;138;249;18;02/01/2017;2314003;23;2;Várzea Alegre;38434;23896;14538;Pequeno II;835,709;0;31.08.2022;8/31/2022;5;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;2;6; ;1; ; ; ;7; ; ;1;8
486129;250710;0;257;273;138;249;18;03/11/2019;2507101;25;2;Itapororoca;16997;10856;6141;Pequeno I;146,067;0;31.08.2022;8/31/2022;5;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;1;3; ;1; ; ; ;2; ; ;2;4
486201;354805;0;255;239;138;21;20;05/01/2017;3548054;35;3;Santo Antônio do Aracang;7626;5971;1655;Pequeno I;1308,432;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1
486293;312650;0;257;275;292;21;20;28/01/2021;3126505;31;3;Francisco Badaró;10248;3191;7057;Pequeno I;461,481;0;31.08.2022;8/31/2022;4;2; ; ;1;1;1; ; ; ; ;3; ; ;1; ; ; ;3;1;2; ; ; ; ; ;2;1;3
486330;250750;0;251;239;142;252;20;01/02/2020;2507507;25;2;João Pessoa;723515;720785;2730;Grande;211,475;0;31.08.2022;8/31/2022;5;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;4;41;39;1;13;10;6;1;3; ; ;81;84
486375;150240;0;255;238;266;370;18;15/04/2021;1502400;15;1;Castanhal;173149;153378;19771;Grande;1028,889;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;21;14;3;1; ; ; ;1; ;1;33;35
486375;150240;0;255;238;266;370;18;10/01/2022;1502400;15;1;Castanhal;173149;153378;19771;Grande;1028,889;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;21;14;3;1; ; ; ;1; ;1;33;35
486375;150240;1;255;238;266;370;18;10/01/2022;1502400;15;1;Castanhal;173149;153378;19771;Grande;1028,889;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;21;14;3;1; ; ; ;1; ;1;33;35
486443;293290;0;257;240;138;254;20;01/02/2001;2932903;29;2;Valença;88673;64368;24305;Médio;1124,657;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;5;26;10;2; ; ; ; ;1; ;1;39;41
486443;293290;0;257;275;266;254;20;01/02/2022;2932903;29;2;Valença;88673;64368;24305;Médio;1124,657;0;31.08.2022;8/31/2022;2;2; ; ;1;1;1; ; ; ; ;4; ; ; ;1;5;26;10;2; ; ; ; ;1; ;1;39;41
486443;293290;1;255;239;266;254;20;01/03/2017;2932903;29;2;Valença;88673;64368;24305;Médio;1124,657;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;5;26;10;2; ; ; ; ;1; ;1;39;41
486443;293290;1;255;239;266;254;20;04/01/2021;2932903;29;2;Valença;88673;64368;24305;Médio;1124,657;0;31.08.2022;8/31/2022;6;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;5;26;10;2; ; ; ; ;1; ;1;39;41
486480;421330;0;257;237;138;21;20;01/09/2014;4213302;42;4;Ponte Alta;4894;3578;1316;Pequeno I;568,96;0;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1
486485;270220;0;255;238;291;370;20;01/01/2022;2702207;27;2;Coqueiro Seco;5526;4973;553;Pequeno I;39,608;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;2;2; ;2; ; ; ; ; ; ;4;4
486510;261080;0;255;239;266;252;20;01/01/2021;2610806;26;2;Pedra;20944;11998;8946;Pequeno II;921,477;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;12;3; ; ; ; ; ;1; ;1;13;15
486606;292990;0;257;235;266;251;20;03/09/2020;2929909;29;2;Seabra;41798;20277;21521;Pequeno II;2402,169;0;31.08.2022;8/31/2022;2;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1; ;7;4;1;2; ; ; ; ; ;3;8;11
486845;430540;0;255;238;138;21;20;01/01/2017;4305405;43;4;Chiapetta;4044;2470;1574;Pequeno I;396,552;0;31.08.2022;8/31/2022;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1
487069;431449;0;257;416;292;21;20;01/08/2022;4314498;43;4;Pinheirinho do Vale;4497;915;3582;Pequeno I;105,612;0;31.08.2022;8/31/2022;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ;1
487084;260880;0;256;239;142;370;18;04/01/2021;2608800;26;2;Lajedo;36628;26395;10233;Pequeno II;189,096;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;6;1; ; ; ; ; ; ; ;1;6;7
487149;522010;0;254;239;142;253;18;04/08/2022;5220108;52;5;São Luís de Montes Belos;30034;26585;3449;Pequeno II;825,999;0;31.08.2022;8/31/2022;1;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;9;4;4;2;1; ; ; ;4;2;1;10;17
487184;310160;0;255;238;266;370;18;01/01/2021;3101607;31;3;Alfenas;73774;69176;4598;Médio;850,446;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;11;1; ;1; ; ; ;4; ;2;6;12
487195;350745;0;257;273;292;21;20;12/04/2011;3507456;35;3;Borebi;2293;2000;293;Pequeno I;347,989;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;1;1; ;1; ; ; ;1; ;1; ;2
487245;220095;1;255;238;142;370;20;01/01/2021;2200954;22;2;Aroeiras do Itaim;2440;238;2202;Pequeno I;316,236;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;3;2; ; ; ;2; ;1; ;1;3;5
487276;352780;0;255;239;139;21;20;01/07/2019;3527801;35;3;Lupércio;4353;3865;488;Pequeno I;155,171;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;2; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1
487300;230190;1;256;240;139;250;20;18/08/2020;2301901;23;2;Barbalha;55323;38022;17301;Médio;569,508;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;2; ;1; ; ; ;11;2; ;1; ; ; ; ;4;1;8;13
487300;230190;0;255;239;266;370;20;04/01/2022;2301901;23;2;Barbalha;55323;38022;17301;Médio;569,508;0;31.08.2022;8/31/2022;5;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;11;2; ;1; ; ; ; ;4;1;8;13
487318;410480;0;257;238;293;248;20;03/01/2022;4104808;41;4;Cascavel;286205;270049;16156;Grande;2100,831;0;31.08.2022;8/31/2022;2;2; ; ;1;6; ; ; ; ; ;4; ; ; ;1; ;3;3; ;1; ; ; ;2; ; ;4;6
487343;210210;0;255;238;266;370;20;25/02/2022;2102101;21;2;Brejo;33359;12340;21019;Pequeno II;1074,631;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;8;2;1;1; ; ; ;1; ;1;8;10
487444;420780;0;256;238;138;21;20;22/04/2020;4207809;42;4;Irani;9531;6520;3011;Pequeno I;325,737;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ; ;2; ; ; ; ; ; ;1; ;1; ;2
487466;310620;0;255;239;293;370;20;03/01/2022;3106200;31;3;Belo Horizonte;2375151;2375151;0;Metrópole;331,401;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;7;3; ;3; ; ;2;3;2; ;5;10
487614;291840;0;256;238;266;370;20;19/10/2022;2918407;29;2;Juazeiro;197965;160775;37190;Grande;6721,198;0;31.08.2022;8/31/2022;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;3;17;15;1;3; ; ; ;2; ;1;32;35
487854;220580;1;255;238;139;370;20;11/01/2021;2205805;22;2;Luzilândia;24721;13268;11453;Pequeno II;704,347;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;2; ;1; ; ; ;5;2; ; ; ; ; ; ;1;6; ;7
487957;351770;0;257;237;139;21;18;01/08/2020;3517703;35;3;Guará;19858;19223;635;Pequeno I;362,183;0;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;2; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1
488619;160030;0;255;238;266;370;20;28/10/2021;1600303;16;1;Macapá;398204;381214;16990;Grande;6503,458;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;21;15;1; ; ; ; ; ; ;2;35;37
488619;160030;0;257;237;266;370;20;28/10/2021;1600303;16;1;Macapá;398204;381214;16990;Grande;6503,458;0;31.08.2022;8/31/2022;6;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;1;21;15;1; ; ; ; ; ; ;2;35;37
488619;160030;0;257;237;266;370;20;28/10/2021;1600303;16;1;Macapá;398204;381214;16990;Grande;6503,458;0;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;1;21;15;1; ; ; ; ; ; ;2;35;37
488619;160030;0;257;237;292;21;20;01/04/2022;1600303;16;1;Macapá;398204;381214;16990;Grande;6503,458;0;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;1;21;15;1; ; ; ; ; ; ;2;35;37
488619;160030;0;256;238;266;370;20;28/10/2021;1600303;16;1;Macapá;398204;381214;16990;Grande;6503,458;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;21;15;1; ; ; ; ; ; ;2;35;37
489600;292420;0;255;238;138;370;20;03/01/2022;2924207;29;2;Pedro Alexandre;16995;2786;14209;Pequeno I;896,071;0;31.08.2022;8/31/2022;4;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ; ;3; ; ; ; ; ; ;1; ;2; ;3
489994;320080;1;256;239;292;251;20;05/01/2022;3200805;32;3;Baixo Guandu;29081;22512;6569;Pequeno II;916,931;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;1;12;3;1;1; ; ; ;4; ;8;4;16
490063;292870;0;257;237;264;370;20;01/12/2021;2928703;29;2;Santo Antônio de Jesus;90985;79299;11686;Médio;261,74;0;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1; ;12;9; ;3; ; ;1;1; ;3;17;21
490183;270770;1;255;238;292;251;20;18/08/2020;2707701;27;2;Rio Largo;68481;55947;12534;Médio;293,816;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ; ;14;3; ;2; ; ; ;4; ;13; ;17
490183;270770;1;256;237;292;251;20;04/01/2021;2707701;27;2;Rio Largo;68481;55947;12534;Médio;293,816;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ; ;14;3; ;2; ; ; ;4; ;13; ;17
490329;354290;0;256;239;139;21;263;06/04/2006;3542909;35;3;Ribeirão Bonito;12135;11220;915;Pequeno I;471,553;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;2; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1
491693;330227;0;255;238;292;251;20;01/11/2012;3302270;33;3;Japeri;95492;95492;0;Médio;81,697;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ;1;10;2; ;2; ; ; ;1; ;4;8;13
493651;432035;0;256;239;292;21;20;05/04/2022;4320354;43;4;Sentinela do Sul;5198;1282;3916;Pequeno I;281,964;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ;1
475302;130120;0;255;239;292;254;20;18/02/2022;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;292;251;20;06/01/2022;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;292;254;20;01/06/2018;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;1;256;239;292;21;20;24/01/2022;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;292;370;20;06/01/2022;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;1;254;239;292;254;20;06/01/2021;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;6;0;1; ; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;257;237;138;370;20;01/04/2013;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;238;138;370;20;01/04/2008;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;1;255;239;138;370;20;01/01/2010;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;5;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;253;239;292;252;18;01/06/2018;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;4;0;1; ; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;138;370;20;06/07/2010;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;5;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;257;273;138;249;20;06/01/2021;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;258;273;138;249;263;01/01/2010;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;238;292;251;20;06/01/2021;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;2;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;257;237;138;370;20;01/03/2010;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;138;254;263;01/01/2010;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;1;255;239;138;370;20;01/01/2010;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;257;237;138;252;20;06/01/2021;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;1;255;239;138;370;20;01/04/2013;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;138;370;20;17/10/2017;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;253;239;142;252;20;01/06/2018;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;138;370;18;17/04/2007;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;1;255;239;138;251;20;01/06/2018;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;257;237;138;370;262;01/01/2010;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475302;130120;0;255;239;292;251;20;06/01/2022;1301209;13;1;Coari;75965;49651;26314;Médio;57970,768;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;3;16;6; ;2; ; ; ;15; ;9;1;25
475485;150760;1;255;239;266;370;20;01/05/2022;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;1;6;1; ;1; ; ; ;1; ;1;6;8
475485;150760;0;256;239;266;370;20;01/02/2021;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;1;6;1; ;1; ; ; ;1; ;1;6;8
475485;150760;1;255;239;266;370;20;04/08/2022;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;1;6;1; ;1; ; ; ;1; ;1;6;8
475485;150760;0;255;238;266;370;20;01/04/2021;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;6;1; ;1; ; ; ;1; ;1;6;8
475485;150760;1;255;239;266;370;20;27/07/2010;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;1;6;1; ;1; ; ; ;1; ;1;6;8
475485;150760;0;257;273;266;249;18;01/04/2021;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;1;6;1; ;1; ; ; ;1; ;1;6;8
475485;150760;1;256;239;292;21;20;01/01/2021;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;1;6;1; ;1; ; ; ;1; ;1;6;8
475485;150760;1;254;239;138;252;20;01/01/2021;1507607;15;1;São Miguel do Guamá;51567;31884;19683;Médio;1110,175;0;31.08.2022;8/31/2022;4;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;1;6;1; ;1; ; ; ;1; ;1;6;8
475576;240400;0;255;238;292;21;20;02/01/2017;2404002;24;2;Frutuoso Gomes;4233;2812;1421;Pequeno I;63,279;0;31.08.2022;8/31/2022;4;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ;1
475625;261160;1;257;238;293;370;20;01/09/2015;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;2;2; ; ;1;6; ; ; ; ; ;4; ; ; ;1;3;9;10;1;2; ; ; ;3; ;1;18;22
475625;261160;0;253;239;293;252;20;01/09/2015;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;4;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;3;9;10;1;2; ; ; ;3; ;1;18;22
475625;261160;0;257;237;292;21;20;01/08/2019;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;3;9;10;1;2; ; ; ;3; ;1;18;22
475625;261160;0;257;237;293;370;20;14/05/2015;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;3;9;10;1;2; ; ; ;3; ;1;18;22
475625;261160;1;255;238;293;370;20;02/02/2018;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;3;9;10;1;2; ; ; ;3; ;1;18;22
475625;261160;0;257;237;293;370;20;22/06/2015;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;3;9;10;1;2; ; ; ;3; ;1;18;22
475625;261160;0;257;238;293;248;263;07/06/2021;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;4;2; ; ;1;6; ; ; ; ; ;4; ; ; ;1;3;9;10;1;2; ; ; ;3; ;1;18;22
475625;261160;1;257;275;138;254;20;18/01/2010;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;0;31.08.2022;8/31/2022;3;2; ; ;1;1;1; ; ; ; ;1;1; ; ; ;3;9;10;1;2; ; ; ;3; ;1;18;22
