IBGE;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;q_33_2;q_33_3;q_33_9;q_33_10;q_33_11;q_33_12;q_33_13;q_33_14;DataCenso;DataCenso_2018;q_33_2_rec;Idade;d_33_2_Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;05/06/1971;0;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;6/5/1971;47;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;20/06/1972;1;258;273;266;21;18;01/09/2015;31.08.2018;8/31/2018;6/20/1972;46;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;14/03/1980;1;256;237;266;349;20;01/10/2013;31.08.2018;8/31/2018;3/14/1980;38;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;19/10/1982;1;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;10/19/1982;35;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;30/11/1979;1;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;11/30/1979;38;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;24/05/1985;0;255;238;266;217;263;02/01/2017;31.08.2018;8/31/2018;5/24/1985;33;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130340;1303403;13;1;Parintins;242680;102033;69890;32143;4;5956,373;1;1303403309096;11/09/1990;1;257;273;266;21;20;03/01/2017;31.08.2018;8/31/2018;9/11/1990;27;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;1;1;0;2;0;0;0;0;0;0;2;2
130340;1303403;13;1;Parintins;242680;102033;69890;32143;4;5956,373;1;1303403309096;26/10/1997;1;256;273;266;218;18;03/01/2017;31.08.2018;8/31/2018;10/26/1997;20;1;1;4; ;1; ; ;1; ; ; ; ; ; ;1;0;1;1;0;2;0;0;0;0;0;0;2;2
150230;1502301;15;1;Capitão Poço;434556;51893;21441;30452;3;2899,553;1;1502303306524;23/04/1993;1;257;274;266;218;272;29/05/2017;31.08.2018;8/31/2018;4/23/1993;25;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;0;3;1;1;0;0;1;0;0;0;3;3
150230;1502301;15;1;Capitão Poço;434556;51893;21441;30452;3;2899,553;1;1502303306524;10/02/1994;1;257;273;266;218;18;16/08/2017;31.08.2018;8/31/2018;2/10/1994;24;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;0;3;1;1;0;0;1;0;0;0;3;3
